mean 100 episode reward,episodes,steps,% time spent exploring
14.2,25700,4450585,1
14.2,25800,4486051,1
13.7,25900,4521732,1
12.9,26000,4557375,1
15.6,26100,4595320,1
15.6,26200,4632119,1
14.2,26300,4670620,1
13.7,26400,4709567,1
9.4,26500,4736020,1
0.5,26600,4740629,1
1.3,26700,4748538,1
3.0,26800,4762027,1
3.0,26900,4775538,1
2.9,27000,4788704,1
6.1,27100,4808884,1
10.1,27200,4836344,1
10.4,27300,4866417,1
11.0,27400,4896680,1
11.2,27500,4928135,1
10.9,27600,4959628,1
10.0,27700,4987339,1
8.8,27800,5013992,1
10.6,27900,5044844,1
10.4,28000,5074822,1
9.6,28100,5103979,1
8.4,28200,5130768,1
9.9,28300,5160423,1
11.5,28400,5190605,1
9.5,28500,5220047,1
10.0,28600,5249104,1
9.6,28700,5275993,1
12.1,28800,5310494,1
11.1,28900,5340120,1
8.3,29000,5364420,1
8.7,29100,5391764,1
10.8,29200,5420164,1
10.9,29300,5449624,1
9.7,29400,5478052,1
9.4,29500,5505135,1
13.7,29600,5538196,1
12.1,29700,5566680,1
11.8,29800,5597253,1
11.1,29900,5625453,1
12.2,30000,5655473,1
13.5,30100,5687087,1
11.8,30200,5718697,1
11.1,30300,5746385,1
13.4,30400,5777266,1
14.8,30500,5812590,1
14.5,30600,5847549,1
12.0,30700,5878122,1
12.0,30800,5907714,1
15.2,30900,5944398,1
13.4,31000,5978339,1
12.2,31100,6010526,1
11.0,31200,6039198,1
12.9,31300,6071790,1
13.3,31400,6103425,1
13.2,31500,6134782,1
14.4,31600,6168698,1
15.1,31700,6204684,1
11.4,31800,6234217,1
11.4,31900,6263941,1
13.5,32000,6296804,1
9.1,32100,6322117,1
12.1,32200,6351358,1
11.1,32300,6380631,1
13.2,32400,6411364,1
11.2,32500,6440488,1
14.0,32600,6473574,1
14.5,32700,6509624,1
14.7,32800,6545414,1
15.8,32900,6581854,1
14.4,33000,6623157,1
14.2,33100,6658600,1
12.8,33200,6690987,1
14.7,33300,6730683,1
13.4,33400,6763012,1
12.0,33500,6793330,1
12.5,33600,6825866,1
14.8,33700,6860013,1
12.7,33800,6891465,1
14.0,33900,6926437,1
13.2,34000,6958772,1
13.2,34100,6991180,1
14.5,34200,7025822,1
12.6,34300,7056028,1
13.5,34400,7090200,1
13.0,34500,7121818,1
12.5,34600,7153713,1
12.1,34700,7184716,1
14.5,34800,7224263,1
14.6,34900,7262034,1
12.9,35000,7295940,1
12.8,35100,7327125,1
13.7,35200,7363062,1
15.0,35300,7397655,1
15.8,35400,7433354,1
14.2,35500,7467829,1
13.0,35600,7501046,1
14.0,35700,7536456,1
14.6,35800,7573764,1
15.2,35900,7610424,1
10.9,36000,7638719,1
11.4,36100,7670655,1
12.3,36200,7701848,1
14.3,36300,7738947,1
13.0,36400,7772236,1
13.4,36500,7807279,1
13.5,36600,7843411,1
14.6,36700,7883926,1
10.5,36800,7916694,1
11.5,36900,7948432,1
10.7,37000,7978913,1
11.4,37100,8010463,1
12.3,37200,8041236,1
14.4,37300,8077745,1
11.4,37400,8109726,1
10.2,37500,8139422,1
11.0,37600,8168908,1
14.6,37700,8207895,1
11.6,37800,8236736,1
10.5,37900,8266674,1
7.5,38000,8288551,1
5.2,38100,8305616,1
13.0,38200,8337835,1
15.0,38300,8374057,1
15.5,38400,8412017,1
7.9,38500,8434795,1
11.6,38600,8466984,1
11.0,38700,8495753,1
12.0,38800,8527958,1
13.9,38900,8561453,1
16.5,39000,8604793,1
16.7,39100,8642558,1
15.2,39200,8681285,1
15.8,39300,8719470,1
9.2,39400,8746352,1
0.2,39500,8749752,1
0.4,39600,8754005,1
6.7,39700,8771520,1
11.2,39800,8800521,1
8.5,39900,8825560,1
13.3,40000,8857503,1
9.7,40100,8884990,1
8.5,40200,8910771,1
10.6,40300,8939378,1
10.1,40400,8967822,1
6.2,40500,8989514,1
7.9,40600,9014442,1
7.7,40700,9039085,1
7.5,40800,9063564,1
7.1,40900,9086405,1
5.7,41000,9107511,1
7.0,41100,9131108,1
6.6,41200,9154249,1
9.0,41300,9181273,1
7.5,41400,9205420,1
6.8,41500,9228394,1
7.5,41600,9253532,1
8.1,41700,9280623,1
6.7,41800,9304569,1
6.6,41900,9327153,1
6.2,42000,9349755,1
6.6,42100,9372259,1
5.8,42200,9392975,1
6.8,42300,9415913,1
5.4,42400,9435639,1
6.6,42500,9457852,1
6.3,42600,9480369,1
6.5,42700,9502888,1
7.3,42800,9526041,1
7.9,42900,9550766,1
8.3,43000,9577319,1
10.5,43100,9606870,1
11.3,43200,9635662,1
11.9,43300,9665144,1
14.9,43400,9699468,1
12.4,43500,9730319,1
14.3,43600,9764349,1
10.5,43700,9791773,1
13.5,43800,9823406,1
6.4,43900,9844269,1
13.3,44000,9875277,1
4.0,44100,9891102,1
6.2,44200,9911861,1
10.8,44300,9940679,1
11.5,44400,9967641,1
11.0,44500,9995679,1
