#{"t_start": 1523298676.621109, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,129,328.848153
0.0,127,330.260468
0.0,129,331.712652
0.0,129,333.22144
4.0,266,336.41913
11.0,482,342.298929
0.0,125,343.702799
1.0,152,345.477762
1.0,173,347.49689
1.0,177,349.582229
0.0,127,351.058342
2.0,181,353.143184
1.0,154,354.930631
1.0,173,357.005099
2.0,223,359.65458
1.0,157,361.493303
1.0,157,363.351925
0.0,125,364.753995
3.0,250,367.72563
3.0,252,370.781309
0.0,127,372.261251
2.0,200,374.532769
4.0,263,377.628512
3.0,248,380.497776
3.0,248,383.424856
3.0,269,386.558424
2.0,188,388.760719
8.0,372,393.258528
3.0,249,396.156832
2.0,222,398.742107
4.0,299,402.132322
0.0,129,403.588965
0.0,127,405.048125
0.0,129,406.547785
1.0,173,408.501893
3.0,226,411.115732
1.0,173,413.031444
0.0,127,414.450499
0.0,127,415.860946
0.0,129,417.329479
10.0,395,422.079094
2.0,202,424.442088
2.0,203,426.781948
0.0,129,428.216394
0.0,127,429.614151
1.0,155,431.411102
0.0,127,432.826198
3.0,256,435.864617
1.0,175,437.967338
3.0,230,440.791583
1.0,175,442.962766
0.0,125,444.381052
1.0,155,446.226212
0.0,129,447.709052
1.0,173,449.80438
1.0,171,451.840461
0.0,125,453.264247
2.0,204,455.667241
2.0,206,458.044678
0.0,129,459.509618
1.0,173,461.496114
1.0,175,463.500976
3.0,215,466.068671
2.0,200,468.357821
0.0,127,469.810204
2.0,201,472.161582
1.0,171,474.137761
1.0,178,476.157694
6.0,350,480.414129
4.0,299,483.963191
2.0,201,486.250026
2.0,202,488.707439
0.0,125,490.157418
1.0,175,492.376961
2.0,202,494.830002
1.0,178,496.8647
2.0,221,499.596624
0.0,127,501.127187
1.0,178,503.245405
0.0,125,504.682613
2.0,218,507.338373
0.0,127,508.806216
2.0,204,511.261959
0.0,127,512.740335
3.0,253,515.843381
0.0,129,517.301109
2.0,199,519.630836
1.0,154,521.466402
2.0,202,523.90169
1.0,177,526.10885
0.0,127,527.607016
4.0,301,531.436214
0.0,127,532.911957
0.0,127,534.452592
1.0,157,536.294957
0.0,127,537.770076
0.0,129,539.261359
0.0,127,540.7508
3.0,271,544.090873
1.0,174,546.258038
3.0,230,549.032466
3.0,248,551.996762
0.0,129,553.358227
0.0,125,554.770573
2.0,204,557.208794
0.0,129,558.668084
0.0,127,560.152731
2.0,188,562.365472
1.0,170,564.26386
1.0,175,566.317067
0.0,127,567.750656
1.0,173,569.793926
0.0,127,571.238647
8.0,475,577.129206
0.0,125,578.592791
0.0,129,580.036144
0.0,127,581.438708
0.0,127,582.952945
0.0,129,584.41852
1.0,173,586.492313
1.0,176,588.495252
5.0,352,592.734225
0.0,127,594.181199
9.0,367,598.735787
5.0,328,602.724983
2.0,202,605.115488
0.0,125,606.52549
1.0,173,608.600893
1.0,155,610.420727
6.0,397,615.348867
0.0,129,616.797975
3.0,272,620.067144
0.0,125,621.522707
2.0,202,623.93796
3.0,251,626.979069
7.0,411,632.084577
0.0,129,633.566756
3.0,250,636.651821
6.0,382,641.362377
1.0,173,643.345276
6.0,395,648.26377
1.0,156,650.083338
2.0,200,652.488618
2.0,224,655.051791
2.0,202,657.444761
0.0,127,658.849262
5.0,329,662.889789
0.0,129,664.375785
0.0,125,665.760953
3.0,251,668.852462
2.0,202,671.175848
3.0,272,674.506669
3.0,253,677.564457
7.0,432,682.829343
0.0,125,684.265212
3.0,250,687.261153
0.0,127,688.723183
10.0,451,694.311373
0.0,127,695.751585
0.0,125,697.165438
0.0,129,698.642147
4.0,297,702.224247
0.0,129,703.678909
0.0,127,705.11966
6.0,355,709.505466
3.0,246,712.511928
0.0,127,713.922782
0.0,127,715.350978
