policy_entropy,fps,total_timesteps,value_loss,explained_variance,nupdates
0.9968286752700806,1366,9016000,0.012110196053981781,0.8997176960110664,112700
0.9623649716377258,1366,9024000,0.051314108073711395,0.8158832341432571,112800
0.9034477472305298,1366,9032000,0.007614386733621359,0.956359002739191,112900
0.8767811059951782,1366,9040000,0.01789757050573826,0.8837694227695465,113000
0.8571675419807434,1366,9048000,0.04427194967865944,0.9464531317353249,113100
0.838647186756134,1366,9056000,0.14621761441230774,0.8142567873001099,113200
0.9918230772018433,1367,9064000,0.03281126171350479,0.9371637478470802,113300
0.894855797290802,1367,9072000,0.49577635526657104,0.20204949378967285,113400
0.9668103456497192,1367,9080000,0.05534356087446213,0.8466593772172928,113500
0.9844018816947937,1367,9088000,0.007159149739891291,0.9577044658362865,113600
0.9473199844360352,1367,9096000,0.021458419039845467,0.8785102367401123,113700
0.9831140637397766,1367,9104000,0.013346205465495586,0.9309162274003029,113800
0.9779214859008789,1367,9112000,0.008128833025693893,0.9646915979683399,113900
0.9653765559196472,1367,9120000,0.263398677110672,0.5312288701534271,114000
0.8980082273483276,1367,9128000,0.01477527804672718,0.9603309221565723,114100
0.9078409075737,1368,9136000,0.010082189925014973,0.9741126019507647,114200
0.897496223449707,1368,9144000,0.030189886689186096,0.8745053559541702,114300
0.8425253033638,1368,9152000,0.0051039475947618484,0.9731799699366093,114400
0.9959308505058289,1368,9160000,0.009729188866913319,0.9673277139663696,114500
0.9935038685798645,1368,9168000,0.02293376997113228,0.886887714266777,114600
1.0063655376434326,1368,9176000,0.02981983684003353,0.9345194771885872,114700
1.0185209512710571,1368,9184000,0.011491730809211731,0.964660607278347,114800
0.9159377217292786,1368,9192000,0.0627051591873169,0.9396615251898766,114900
0.853534996509552,1368,9200000,0.12441466748714447,0.573079526424408,115000
0.9460548162460327,1369,9208000,0.02019193395972252,0.9292356967926025,115100
0.9637125134468079,1369,9216000,0.5411981344223022,0.5134173929691315,115200
0.9023073315620422,1369,9224000,0.1411377638578415,0.6829564571380615,115300
0.933758556842804,1369,9232000,0.009125998243689537,0.92600367218256,115400
0.8698911666870117,1369,9240000,0.01780635118484497,0.9565722048282623,115500
0.9492701292037964,1369,9248000,0.031359486281871796,0.9430404305458069,115600
