#{"t_start": 1523306713.8281994, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,157,333.584728
1.0,157,335.517075
3.0,250,338.623096
1.0,175,340.825612
1.0,153,342.676665
0.0,129,344.22489
1.0,153,346.101859
3.0,265,349.500067
0.0,127,350.963062
4.0,322,355.104894
2.0,188,357.39908
1.0,157,359.403398
2.0,198,362.052041
2.0,207,364.838457
2.0,200,367.465568
2.0,204,370.159034
0.0,129,371.838443
2.0,224,374.904925
0.0,125,376.423686
1.0,175,378.591426
1.0,173,380.749285
0.0,129,382.328365
0.0,127,383.884575
1.0,173,386.015562
0.0,129,387.5429
0.0,127,389.070203
9.0,403,394.258251
0.0,125,395.74724
0.0,125,397.303384
1.0,175,399.430749
1.0,175,401.608138
0.0,127,403.091882
2.0,202,405.611184
0.0,127,407.090173
0.0,127,408.578187
0.0,129,410.130347
2.0,202,412.579376
4.0,282,416.046596
4.0,299,419.807419
2.0,224,422.544037
2.0,198,425.010458
2.0,202,427.414553
2.0,186,429.639016
0.0,127,431.095446
7.0,422,436.426283
2.0,200,438.869982
2.0,186,441.143208
4.0,319,445.293773
3.0,270,448.65395
2.0,202,451.161036
4.0,300,454.878542
0.0,127,456.411406
2.0,202,458.852301
2.0,185,461.044497
1.0,155,462.923528
1.0,177,465.033514
1.0,156,466.86003
4.0,302,470.69487
2.0,202,473.133081
7.0,428,478.542182
3.0,249,481.633081
0.0,129,483.16001
3.0,270,486.474984
1.0,157,488.34261
1.0,157,490.288653
0.0,127,491.79033
0.0,127,493.336886
1.0,178,495.523899
0.0,123,497.045063
0.0,127,498.63424
2.0,201,501.090803
2.0,225,503.904145
1.0,175,506.103455
3.0,229,508.952722
0.0,129,510.458613
1.0,171,512.579513
3.0,253,515.729359
1.0,173,517.909884
0.0,129,519.49228
2.0,182,521.751773
2.0,223,524.511032
1.0,173,526.63218
2.0,202,529.157499
0.0,129,530.680064
1.0,155,532.515296
9.0,426,537.923604
0.0,127,539.406687
3.0,250,542.579842
0.0,129,544.130349
0.0,129,545.650935
0.0,127,547.170982
0.0,127,548.642407
3.0,272,552.035731
2.0,202,554.579954
5.0,313,558.546869
1.0,155,560.407561
1.0,173,562.508665
1.0,157,564.399858
1.0,175,566.551893
1.0,158,568.440408
1.0,156,570.363096
1.0,155,572.221199
0.0,129,573.771018
2.0,221,576.439407
0.0,127,577.929547
3.0,247,581.062179
1.0,169,583.12155
2.0,205,585.647777
0.0,127,587.115363
9.0,381,592.005326
2.0,199,594.452064
1.0,157,596.331243
0.0,127,597.791005
2.0,202,600.264928
10.0,453,605.971013
0.0,129,607.52041
1.0,175,609.638165
1.0,153,611.479004
2.0,206,614.02573
3.0,265,617.291045
0.0,129,618.815303
7.0,321,622.899434
1.0,155,624.799523
2.0,222,627.555128
1.0,175,629.686932
0.0,125,631.180638
2.0,200,633.622625
2.0,183,635.847034
0.0,127,637.34862
2.0,202,639.918886
1.0,173,642.001899
1.0,157,643.910078
1.0,157,645.821194
2.0,202,648.287039
1.0,178,650.447282
0.0,129,651.992466
1.0,171,654.128078
0.0,129,655.700014
1.0,176,657.860191
0.0,129,659.393576
0.0,127,660.896784
0.0,127,662.395658
3.0,266,665.628204
3.0,250,668.826539
0.0,125,670.357489
2.0,222,673.1228
0.0,127,674.621802
0.0,123,676.093927
5.0,346,680.433074
0.0,127,681.927405
1.0,157,683.823622
2.0,198,686.299292
0.0,127,687.801897
0.0,129,689.350305
2.0,223,692.10115
1.0,153,693.885589
1.0,178,696.059577
4.0,277,699.518003
2.0,200,702.016258
0.0,125,703.506711
5.0,350,707.989354
0.0,129,709.588589
0.0,129,711.12872
6.0,360,715.678374
0.0,127,717.13274
0.0,125,718.653206
3.0,234,721.63585
2.0,202,724.15329
1.0,153,726.054934
1.0,173,728.159482
3.0,232,731.085824
2.0,185,733.261187
4.0,281,736.799381
0.0,125,738.284788
0.0,127,739.75298
2.0,204,742.342268
0.0,125,743.854576
1.0,171,745.933064
0.0,127,747.447766
2.0,203,749.973371
0.0,127,751.447276
3.0,211,754.023286
0.0,129,755.509849
3.0,217,758.118714
0.0,129,759.643461
1.0,173,761.679605
1.0,173,763.757863
0.0,127,765.300102
1.0,173,767.475215
6.0,381,772.280033
0.0,129,773.820597
5.0,316,777.83834
0.0,127,779.347853
0.0,127,780.849327
2.0,200,783.325468
0.0,127,784.791654
3.0,250,787.898231
1.0,157,789.743669
3.0,236,792.707462
4.0,316,796.71162
1.0,155,798.620832
0.0,129,800.095037
0.0,127,801.611161
2.0,200,804.153085
1.0,173,806.286406
1.0,174,808.405781
2.0,185,810.62838
1.0,174,812.802861
1.0,157,814.686917
1.0,173,816.773682
0.0,129,818.24408
0.0,125,819.673283
3.0,272,823.007065
0.0,127,824.546135
0.0,127,826.016633
3.0,244,829.040093
0.0,129,830.599651
3.0,248,833.634279
5.0,330,837.77443
0.0,127,839.291381
0.0,127,840.78748
0.0,127,842.317959
0.0,127,843.804127
0.0,127,845.282169
0.0,129,846.80258
0.0,125,848.300001
3.0,270,851.684371
0.0,129,853.26249
4.0,260,856.422112
2.0,222,859.160779
0.0,125,860.632697
1.0,157,862.492523
1.0,155,864.293461
1.0,178,866.50368
4.0,279,870.000918
0.0,125,871.461746
8.0,345,875.819769
0.0,125,877.242393
2.0,224,880.02932
3.0,268,883.360128
0.0,127,884.835006
1.0,173,886.921
1.0,175,889.177109
2.0,224,892.003775
5.0,327,896.241645
0.0,127,897.756974
0.0,129,899.291192
9.0,407,904.59695
1.0,176,906.731983
3.0,269,910.193443
0.0,123,911.581581
1.0,172,913.601972
4.0,278,917.097759
0.0,129,918.611092
0.0,129,920.16472
3.0,255,923.245149
0.0,127,924.766103
8.0,372,929.359011
1.0,176,931.49064
2.0,202,934.005214
0.0,129,935.481199
0.0,129,936.978268
0.0,125,938.46885
0.0,125,939.90944
0.0,127,941.363938
1.0,175,943.513765
0.0,125,944.98738
0.0,125,946.487007
10.0,445,952.190982
0.0,125,953.644257
2.0,204,956.129721
1.0,155,957.976535
2.0,202,960.45821
9.0,402,965.58161
0.0,127,967.06216
0.0,127,968.556531
0.0,129,970.079442
0.0,125,971.5537
4.0,297,975.260406
0.0,127,976.752058
4.0,299,980.471653
0.0,125,981.956146
0.0,129,983.472847
0.0,125,984.919481
0.0,129,986.421998
0.0,129,987.915211
5.0,364,992.435156
3.0,248,995.503277
0.0,129,997.027652
0.0,127,998.571566
0.0,125,1000.07874
1.0,173,1002.163953
1.0,155,1004.006498
2.0,198,1006.389114
2.0,202,1008.92085
9.0,404,1013.939432
0.0,129,1015.418022
0.0,129,1016.901348
4.0,279,1020.321224
0.0,125,1021.806965
0.0,127,1023.283478
0.0,127,1024.733569
4.0,318,1028.794976
9.0,404,1033.875051
9.0,425,1039.266722
0.0,127,1040.766683
2.0,202,1043.241195
0.0,129,1044.746527
0.0,125,1046.184006
0.0,129,1047.68696
0.0,127,1049.160341
0.0,125,1050.601838
5.0,310,1054.467991
5.0,350,1058.918583
2.0,202,1061.384522
0.0,127,1062.833085
4.0,279,1066.363071
0.0,129,1067.947214
0.0,129,1069.509067
1.0,172,1071.588985
2.0,200,1074.055959
0.0,127,1075.575449
0.0,129,1077.109164
1.0,157,1078.92792
0.0,129,1080.429919
3.0,230,1083.222839
0.0,127,1084.710027
0.0,127,1086.237685
0.0,129,1087.771574
3.0,271,1091.054338
0.0,127,1092.530231
0.0,127,1094.013059
10.0,433,1099.437996
3.0,248,1102.498126
0.0,129,1103.994371
2.0,202,1106.401621
9.0,404,1111.437407
2.0,202,1113.88273
1.0,174,1115.935554
0.0,127,1117.397608
0.0,125,1118.88411
2.0,200,1121.331451
3.0,248,1124.343235
0.0,129,1125.869464
2.0,202,1128.324092
0.0,127,1129.833864
9.0,404,1134.901963
2.0,198,1137.272483
0.0,125,1138.692967
5.0,354,1143.159722
2.0,200,1145.591962
0.0,125,1147.022212
1.0,157,1148.842812
0.0,127,1150.324966
0.0,125,1151.844191
0.0,129,1153.325768
0.0,127,1154.799447
0.0,127,1156.318655
0.0,129,1157.825699
0.0,127,1159.330201
1.0,173,1161.382625
0.0,129,1162.847611
2.0,200,1165.189566
2.0,200,1167.541574
0.0,127,1169.042564
4.0,299,1172.736078
0.0,129,1174.163108
0.0,129,1175.687246
3.0,246,1178.729782
2.0,200,1181.164516
0.0,129,1182.64799
2.0,198,1185.050444
4.0,297,1188.692994
0.0,129,1190.217316
2.0,200,1192.683606
2.0,202,1195.097188
9.0,404,1200.239604
2.0,198,1202.600346
0.0,129,1204.109645
0.0,129,1205.647106
4.0,297,1209.575974
9.0,404,1214.909858
3.0,248,1217.94151
0.0,125,1219.431165
0.0,125,1220.83389
0.0,129,1222.338885
0.0,129,1223.788044
6.0,380,1228.50447
0.0,127,1230.013836
0.0,129,1231.579093
9.0,404,1236.584654
0.0,127,1238.071626
2.0,202,1240.471186
0.0,129,1242.010284
4.0,297,1245.683993
5.0,350,1250.033537
9.0,404,1255.109268
2.0,223,1257.776558
0.0,127,1259.288825
0.0,129,1260.791052
0.0,129,1262.288933
2.0,202,1264.752354
4.0,297,1268.437505
2.0,202,1270.880923
6.0,401,1275.918568
5.0,350,1280.371739
4.0,299,1284.026144
1.0,159,1285.919241
5.0,350,1290.29162
2.0,202,1292.705041
0.0,127,1294.16183
0.0,125,1295.616939
0.0,125,1297.091549
0.0,129,1298.607798
