#{"t_start": 1523306713.9024086, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,203,334.174774
2.0,222,336.892999
2.0,203,339.406384
6.0,348,343.898152
0.0,127,345.467437
0.0,129,347.029525
0.0,127,348.55239
0.0,129,350.038288
0.0,129,351.561789
0.0,125,353.061154
2.0,199,355.52673
1.0,176,357.675753
3.0,245,360.981242
0.0,127,362.621094
2.0,186,365.055026
0.0,125,366.647308
3.0,254,370.048272
1.0,152,372.111992
1.0,177,374.499192
0.0,125,375.991986
0.0,125,377.475992
0.0,127,379.032105
2.0,223,381.870934
3.0,228,384.807211
0.0,125,386.280322
2.0,220,389.052046
1.0,172,391.103408
2.0,226,393.94172
1.0,173,396.104259
0.0,129,397.688915
8.0,374,402.511868
0.0,125,403.990627
0.0,127,405.477279
1.0,171,407.573854
0.0,129,409.121716
0.0,129,410.604728
3.0,268,413.913642
0.0,127,415.39195
0.0,129,416.929411
0.0,129,418.409651
4.0,299,422.111434
0.0,129,423.685242
2.0,202,426.090561
1.0,155,427.921409
2.0,184,430.163734
1.0,155,431.97216
0.0,127,433.420523
1.0,155,435.288795
0.0,125,436.772507
1.0,155,438.577539
0.0,127,440.099903
1.0,157,441.996898
1.0,173,444.153617
1.0,171,446.217932
0.0,129,447.747666
3.0,230,450.599949
0.0,125,452.060651
2.0,202,454.51086
0.0,127,456.013017
0.0,127,457.510996
1.0,177,459.658559
0.0,129,461.120504
1.0,171,463.236456
0.0,127,464.671891
0.0,127,466.140061
5.0,331,470.311347
3.0,251,473.426051
0.0,127,474.869365
3.0,250,477.947173
1.0,173,480.044804
3.0,250,483.167272
4.0,299,486.851315
1.0,155,488.698819
0.0,127,490.259129
1.0,155,492.15533
0.0,125,493.658095
3.0,234,496.620219
0.0,127,498.211998
3.0,274,501.675531
1.0,173,503.773419
2.0,202,506.362377
3.0,250,509.446192
3.0,233,512.369127
0.0,129,513.935548
1.0,175,516.051378
0.0,129,517.625931
2.0,185,519.950373
0.0,127,521.466421
3.0,251,524.622871
0.0,125,526.113241
0.0,129,527.663769
1.0,175,529.803867
1.0,169,531.835791
0.0,127,533.30509
0.0,129,534.83061
0.0,129,536.326469
3.0,251,539.438323
0.0,129,540.971417
2.0,200,543.474442
1.0,155,545.323825
0.0,127,546.864737
3.0,272,550.181853
0.0,127,551.751382
1.0,172,553.837612
2.0,224,556.675593
2.0,205,559.208762
1.0,155,561.080258
0.0,127,562.577211
1.0,155,564.441947
0.0,127,565.925498
0.0,129,567.442541
4.0,295,571.229175
2.0,227,574.052705
2.0,223,576.774021
1.0,173,578.936275
0.0,129,580.416992
0.0,127,581.942173
0.0,127,583.398965
0.0,129,584.949244
2.0,220,587.624328
0.0,129,589.17795
1.0,155,591.05181
1.0,159,592.986148
3.0,227,595.794634
1.0,173,597.875301
0.0,127,599.362468
0.0,127,600.841667
0.0,129,602.342538
0.0,125,603.770225
5.0,344,608.07966
1.0,173,610.210231
3.0,249,613.306282
0.0,127,614.801364
0.0,127,616.26704
0.0,129,617.79221
1.0,175,619.895448
3.0,253,623.086098
2.0,202,625.613184
1.0,171,627.694937
0.0,125,629.153372
3.0,269,632.54053
0.0,129,634.067294
0.0,129,635.555118
2.0,222,638.365936
3.0,251,641.506783
0.0,129,643.071236
2.0,221,645.826012
0.0,129,647.348294
0.0,125,648.817288
4.0,297,652.557272
0.0,129,654.154704
0.0,129,655.721564
1.0,173,657.827887
4.0,297,661.590966
0.0,125,663.030688
1.0,157,664.88602
0.0,127,666.398437
3.0,252,669.610768
1.0,176,671.752908
0.0,129,673.323865
1.0,157,675.258692
4.0,301,679.005465
1.0,177,681.124739
1.0,175,683.235516
1.0,175,685.45416
0.0,129,686.972436
6.0,347,691.388894
2.0,223,694.138678
1.0,155,695.959825
3.0,250,699.057464
0.0,127,700.58697
0.0,129,702.141605
1.0,173,704.241467
0.0,129,705.789738
1.0,173,707.914753
0.0,125,709.455705
0.0,129,711.001268
0.0,127,712.498263
1.0,157,714.362477
0.0,129,715.893417
2.0,204,718.387824
1.0,174,720.579431
1.0,177,722.781925
1.0,157,724.697855
0.0,129,726.257637
1.0,173,728.397639
1.0,172,730.448845
3.0,250,733.54576
0.0,127,735.034205
1.0,157,736.912924
1.0,155,738.790588
0.0,127,740.306582
1.0,155,742.206398
2.0,200,744.75529
1.0,157,746.61999
4.0,282,750.209315
0.0,129,751.727321
0.0,127,753.176129
1.0,177,755.286709
1.0,171,757.329967
2.0,202,759.768732
0.0,125,761.198437
0.0,125,762.692239
3.0,252,765.8203
0.0,127,767.375964
0.0,129,768.878478
3.0,250,771.948899
3.0,247,775.086615
0.0,129,776.621183
0.0,127,778.137646
1.0,173,780.246269
2.0,202,782.745424
2.0,202,785.180522
11.0,483,791.345985
0.0,129,792.883045
1.0,157,794.813062
1.0,175,796.941186
0.0,125,798.431786
0.0,129,799.908512
1.0,155,801.836121
0.0,127,803.380136
3.0,255,806.60261
2.0,200,809.038979
1.0,159,810.972953
1.0,171,813.086792
0.0,129,814.575194
0.0,129,816.093174
4.0,291,819.66822
1.0,170,821.659767
3.0,248,824.793971
2.0,224,827.513332
3.0,252,830.721291
3.0,253,833.825782
2.0,200,836.240061
1.0,178,838.431766
0.0,127,839.905583
1.0,175,842.054199
