#{"t_start": 1523290700.9484909, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
3.0,237,335.093944
0.0,129,336.541548
0.0,127,338.020358
2.0,185,340.166185
0.0,125,341.622772
0.0,129,343.063629
0.0,127,344.55388
0.0,129,346.047424
1.0,155,347.786947
1.0,173,349.82194
0.0,129,351.282018
1.0,173,353.317225
1.0,155,355.141515
0.0,127,356.588521
1.0,171,358.582544
2.0,203,360.980295
3.0,253,363.980476
5.0,323,367.933276
0.0,125,369.38754
1.0,173,371.454858
0.0,129,372.921925
3.0,248,375.788766
0.0,125,377.216507
1.0,174,379.205087
0.0,129,380.636354
0.0,129,382.100575
1.0,175,384.118093
1.0,155,385.940636
1.0,170,387.932824
0.0,123,389.310908
2.0,202,391.692444
3.0,252,394.721694
3.0,267,397.892893
0.0,127,399.341742
0.0,125,400.759213
5.0,329,404.770374
1.0,155,406.513464
2.0,198,408.753524
2.0,202,411.123532
0.0,127,412.522014
3.0,270,415.75473
13.0,457,421.317319
3.0,236,424.163058
0.0,129,425.653777
0.0,129,427.082798
0.0,127,428.539615
1.0,155,430.30953
3.0,240,433.228711
1.0,155,435.041037
2.0,201,437.389115
0.0,127,438.859947
0.0,127,440.274608
4.0,283,443.615991
0.0,127,445.013562
0.0,123,446.432341
2.0,203,448.9094
0.0,125,450.329954
1.0,155,452.120252
0.0,127,453.497162
5.0,350,457.779662
1.0,171,459.789152
0.0,129,461.218235
1.0,155,462.989152
0.0,129,464.484504
2.0,205,466.889162
1.0,175,468.96576
1.0,173,470.968014
0.0,129,472.409547
2.0,202,474.739385
4.0,280,478.037234
2.0,204,480.423856
0.0,127,481.903109
0.0,125,483.337102
2.0,202,485.637739
0.0,127,487.010599
1.0,157,488.851792
0.0,129,490.333806
2.0,220,492.90631
3.0,232,495.74101
2.0,207,498.208697
0.0,129,499.634413
0.0,127,501.105058
1.0,155,502.843187
0.0,129,504.342451
0.0,129,505.800701
0.0,125,507.234606
0.0,125,508.647216
5.0,329,512.611442
0.0,129,514.080876
2.0,200,516.395266
0.0,127,517.809583
9.0,400,522.611514
1.0,158,524.43262
1.0,171,526.359088
5.0,306,530.036954
0.0,127,531.428212
0.0,129,532.856296
1.0,155,534.642727
1.0,175,536.681595
2.0,207,539.043969
1.0,176,541.04818
4.0,297,544.512757
2.0,202,546.914293
3.0,270,550.111995
0.0,129,551.557615
2.0,201,553.92824
0.0,129,555.346811
0.0,127,556.756017
1.0,173,558.746424
1.0,178,560.831352
0.0,127,562.224421
1.0,155,563.997749
4.0,282,567.405777
0.0,127,568.828185
7.0,449,574.231012
5.0,351,578.366331
1.0,175,580.377959
0.0,129,581.855505
0.0,127,583.245455
8.0,357,587.64486
0.0,127,589.093186
1.0,174,591.158411
0.0,127,592.623752
1.0,173,594.629627
0.0,123,595.968509
0.0,127,597.438508
0.0,127,598.855736
2.0,200,601.185308
2.0,205,603.60043
0.0,127,605.058694
2.0,200,607.407353
0.0,127,608.852639
4.0,300,612.413652
1.0,153,614.153178
1.0,155,616.012476
3.0,247,618.932466
2.0,218,621.53311
1.0,172,623.532604
1.0,155,625.310956
2.0,202,627.800029
3.0,250,630.754657
4.0,299,634.315981
1.0,155,636.122033
0.0,125,637.590142
0.0,129,639.097265
0.0,129,640.571922
1.0,176,642.616246
4.0,321,646.484502
1.0,174,648.489689
0.0,129,649.939611
0.0,129,651.423882
2.0,202,653.785566
0.0,125,655.164034
0.0,127,656.584689
2.0,200,658.888119
3.0,248,661.749942
0.0,129,663.21075
0.0,129,664.700781
3.0,250,667.703481
0.0,129,669.157999
1.0,153,670.917544
2.0,202,673.286783
4.0,302,676.89544
1.0,177,678.849229
0.0,125,680.31468
0.0,123,681.654711
2.0,202,684.055462
1.0,171,686.000779
0.0,127,687.463158
0.0,129,688.946275
0.0,129,690.386021
2.0,202,692.722415
3.0,232,695.514437
4.0,321,699.387863
3.0,248,702.357417
0.0,125,703.768156
0.0,129,705.228802
5.0,347,709.387675
3.0,230,712.090929
0.0,129,713.52834
3.0,250,716.45759
2.0,220,719.093807
1.0,173,721.165714
0.0,127,722.592362
3.0,215,725.179495
0.0,123,726.555924
1.0,152,728.314197
0.0,125,729.727895
0.0,123,731.107018
0.0,127,732.546805
4.0,299,736.06247
0.0,129,737.579454
1.0,173,739.564121
0.0,125,740.996023
1.0,177,743.048806
2.0,200,745.363529
5.0,350,749.603032
0.0,129,750.996211
0.0,127,752.376428
2.0,200,754.638077
2.0,219,757.226667
3.0,250,760.18209
0.0,129,761.642724
2.0,203,764.061396
2.0,220,766.644141
0.0,127,768.030322
1.0,173,770.042242
2.0,202,772.381742
0.0,129,773.829974
3.0,272,777.033882
4.0,301,780.651913
6.0,379,785.137797
1.0,173,787.100682
1.0,173,789.076424
0.0,127,790.472888
0.0,129,791.930831
2.0,202,794.243137
0.0,129,795.690045
0.0,127,797.106173
0.0,127,798.504161
0.0,129,799.960179
8.0,373,804.408345
3.0,271,807.497752
1.0,155,809.219761
3.0,270,812.497635
4.0,302,816.030757
2.0,220,818.48029
0.0,127,819.903996
0.0,129,821.383396
2.0,202,823.661828
0.0,129,825.07784
0.0,127,826.480139
0.0,129,827.934837
0.0,127,829.375363
1.0,157,831.089223
4.0,301,834.665924
0.0,127,836.033898
0.0,129,837.441343
2.0,200,839.799602
0.0,129,841.278313
5.0,352,845.446512
0.0,127,846.830313
0.0,127,848.270974
0.0,129,849.715377
4.0,319,853.492328
0.0,129,854.93118
0.0,127,856.341276
0.0,123,857.685553
4.0,299,861.265454
5.0,348,865.33674
0.0,129,866.747529
9.0,404,871.561217
5.0,349,875.776644
8.0,375,880.24195
0.0,129,881.718254
5.0,347,885.882995
0.0,127,887.297804
6.0,381,891.882163
1.0,155,893.657817
0.0,127,895.055753
0.0,127,896.466288
0.0,129,897.861706
3.0,246,900.751953
0.0,125,902.16812
0.0,129,903.619872
2.0,220,906.260479
0.0,127,907.662301
0.0,127,909.116055
11.0,485,914.92973
0.0,129,916.356609
2.0,200,918.658164
1.0,157,920.451851
4.0,297,923.886393
0.0,129,925.395914
0.0,127,926.81479
2.0,202,929.167846
5.0,350,933.30864
0.0,127,934.755437
5.0,350,938.973896
0.0,127,940.414091
0.0,129,941.826282
0.0,129,943.240649
0.0,125,944.644808
9.0,404,949.386971
0.0,129,950.767899
2.0,202,953.083294
0.0,129,954.574103
0.0,129,956.073891
2.0,200,958.378441
2.0,202,960.713406
12.0,514,966.886824
4.0,297,970.45643
2.0,200,972.806398
0.0,127,974.238436
2.0,198,976.604701
0.0,129,978.068735
4.0,299,981.510005
2.0,202,983.809229
3.0,246,986.612885
2.0,202,988.84877
4.0,297,992.409944
1.0,175,994.369912
0.0,127,995.758294
4.0,319,999.516926
5.0,350,1003.725696
0.0,129,1005.128444
0.0,129,1006.554266
5.0,350,1010.656965
0.0,125,1012.054545
0.0,127,1013.46695
4.0,297,1016.946723
9.0,404,1021.781407
2.0,202,1024.117352
2.0,202,1026.499797
8.0,372,1030.916708
4.0,321,1034.703666
0.0,127,1036.118335
0.0,129,1037.548046
0.0,127,1038.927619
2.0,202,1041.259684
0.0,127,1042.63821
0.0,127,1044.030345
0.0,127,1045.440991
0.0,129,1046.909401
0.0,127,1048.310087
0.0,127,1049.806837
0.0,129,1051.197583
0.0,129,1052.616916
0.0,125,1054.024111
0.0,129,1055.556369
0.0,129,1056.978128
5.0,350,1061.177752
0.0,129,1062.629484
6.0,399,1067.398062
2.0,203,1069.816206
3.0,248,1072.740952
2.0,200,1075.056318
12.0,431,1080.239369
3.0,248,1083.12203
6.0,399,1087.900283
0.0,129,1089.270473
2.0,200,1091.580208
2.0,220,1094.079343
2.0,202,1096.354465
0.0,127,1097.738328
2.0,202,1100.045484
5.0,350,1104.139301
0.0,129,1105.533455
0.0,127,1107.010766
0.0,129,1108.47391
0.0,129,1109.88945
4.0,299,1113.45638
2.0,200,1115.8043
9.0,404,1120.602199
5.0,350,1124.76628
0.0,127,1126.172241
1.0,170,1128.090384
0.0,125,1129.518125
4.0,297,1133.092721
1.0,158,1134.946709
2.0,200,1137.288874
3.0,245,1140.10372
7.0,320,1143.888018
2.0,224,1146.535443
0.0,129,1147.960384
0.0,127,1149.375112
2.0,202,1151.774274
0.0,127,1153.125731
2.0,202,1155.450808
2.0,198,1157.759959
0.0,129,1159.17063
2.0,202,1161.481728
5.0,372,1165.822285
3.0,248,1168.726378
5.0,350,1172.835463
11.0,464,1178.271394
0.0,125,1179.65752
7.0,324,1183.517967
2.0,200,1185.821145
4.0,297,1189.304398
2.0,202,1191.608427
0.0,125,1192.95967
2.0,200,1195.246128
0.0,123,1196.640388
0.0,123,1197.977957
2.0,202,1200.231289
13.0,478,1205.910173
9.0,404,1210.815361
3.0,246,1213.698023
2.0,198,1215.924106
0.0,127,1217.320589
0.0,129,1218.736566
0.0,127,1220.098971
0.0,129,1221.452303
2.0,202,1223.732079
0.0,127,1225.166888
5.0,350,1229.286019
6.0,359,1233.508334
2.0,200,1235.746368
4.0,319,1239.427758
0.0,127,1240.859732
2.0,202,1243.185857
2.0,202,1245.503716
0.0,129,1246.988363
4.0,297,1250.491693
4.0,319,1254.275522
2.0,202,1256.548084
5.0,350,1260.574801
0.0,127,1262.016181
0.0,127,1263.344008
0.0,129,1264.740473
8.0,371,1269.067347
0.0,127,1270.480383
0.0,129,1271.870032
4.0,297,1275.297845
9.0,404,1280.07127
3.0,248,1282.994873
2.0,188,1285.125897
4.0,298,1288.541421
2.0,202,1290.863713
2.0,200,1293.053791
4.0,297,1296.507025
11.0,484,1302.360168
0.0,129,1303.830318
6.0,382,1308.40656
0.0,127,1309.80558
0.0,129,1311.203647
0.0,129,1312.574124
1.0,171,1314.521576
4.0,301,1318.001572
0.0,125,1319.305429
9.0,404,1323.979529
0.0,129,1325.396809
6.0,380,1329.900008
9.0,404,1334.650831
0.0,127,1336.076704
0.0,127,1337.471417
5.0,350,1341.463539
0.0,129,1342.838672
4.0,297,1346.322806
1.0,157,1348.042223
0.0,127,1349.436999
2.0,203,1351.812926
5.0,350,1355.933313
0.0,125,1357.338593
5.0,352,1361.595183
4.0,277,1364.830111
0.0,129,1366.266237
2.0,198,1368.528583
5.0,348,1372.449895
3.0,252,1375.346974
6.0,379,1379.851346
0.0,129,1381.173576
2.0,202,1383.536726
1.0,157,1385.199649
13.0,459,1390.493818
0.0,129,1391.885668
0.0,129,1393.289047
0.0,127,1394.726807
2.0,202,1396.965909
0.0,127,1398.364291
0.0,127,1399.747506
9.0,403,1404.481039
1.0,178,1406.620012
4.0,301,1410.086744
2.0,202,1412.379672
10.0,451,1417.680162
3.0,251,1420.629827
9.0,398,1425.413603
0.0,125,1426.744297
0.0,129,1428.186615
0.0,129,1429.558815
13.0,481,1435.267466
1.0,157,1437.02033
0.0,125,1438.352872
0.0,125,1439.69145
0.0,129,1441.045276
7.0,453,1446.349744
1.0,159,1448.076324
7.0,437,1453.325101
2.0,203,1455.654399
4.0,278,1458.878399
1.0,155,1460.6127
5.0,350,1464.757869
2.0,205,1467.083619
5.0,350,1471.248934
2.0,201,1473.600272
6.0,383,1478.051405
3.0,247,1480.943954
5.0,350,1484.98473
8.0,375,1489.293455
3.0,216,1491.802406
5.0,350,1495.807376
4.0,297,1499.220342
1.0,157,1500.935138
0.0,127,1502.358841
0.0,129,1503.73831
0.0,129,1505.174211
12.0,503,1511.058018
3.0,230,1513.782454
3.0,250,1516.743233
1.0,155,1518.485694
0.0,129,1519.909392
0.0,129,1521.339416
4.0,301,1524.894435
2.0,198,1527.11685
3.0,270,1530.323317
0.0,127,1531.751721
9.0,404,1536.47784
0.0,125,1537.860121
7.0,428,1542.938689
1.0,153,1544.569827
9.0,404,1549.272293
0.0,129,1550.712357
0.0,129,1552.151964
6.0,370,1556.403815
13.0,480,1562.144207
2.0,226,1564.735661
0.0,127,1566.10333
5.0,350,1570.112706
6.0,369,1574.425187
0.0,125,1575.753548
1.0,154,1577.455502
2.0,192,1579.600899
3.0,237,1582.369468
0.0,127,1583.749853
5.0,326,1587.485158
3.0,250,1590.361726
0.0,127,1591.735931
2.0,205,1594.01542
0.0,127,1595.420284
0.0,125,1596.755958
1.0,172,1598.728883
0.0,127,1600.121323
7.0,425,1605.129398
0.0,129,1606.55259
2.0,202,1608.850815
5.0,350,1612.839036
0.0,129,1614.242914
0.0,125,1615.605463
1.0,176,1617.591533
2.0,186,1619.706676
4.0,319,1623.377368
4.0,298,1626.872234
0.0,127,1628.268018
2.0,187,1630.249001
2.0,207,1632.624549
0.0,129,1634.051286
0.0,129,1635.44803
3.0,244,1638.220291
1.0,173,1640.136887
3.0,269,1643.290569
2.0,206,1645.553109
5.0,350,1649.49233
8.0,372,1653.870181
5.0,348,1657.894314
0.0,127,1659.259528
0.0,125,1660.597005
5.0,329,1664.311854
3.0,246,1667.088073
0.0,127,1668.453986
2.0,204,1670.816687
0.0,129,1672.216255
1.0,173,1674.165721
0.0,127,1675.520285
6.0,397,1680.102159
6.0,399,1684.796388
3.0,251,1687.629346
5.0,350,1691.608369
0.0,129,1693.04076
8.0,496,1698.900176
0.0,125,1700.26633
1.0,159,1702.003915
1.0,178,1703.972093
1.0,155,1705.690867
0.0,127,1707.094327
2.0,200,1709.314185
9.0,404,1713.967062
9.0,404,1718.628591
9.0,404,1723.336616
0.0,127,1724.71326
4.0,260,1727.616412
1.0,157,1729.353303
2.0,187,1731.371147
5.0,374,1735.708645
1.0,173,1737.622076
9.0,401,1742.228577
2.0,190,1744.27841
2.0,205,1746.553383
0.0,125,1747.883998
0.0,127,1749.160684
1.0,178,1751.151182
1.0,155,1752.80374
2.0,199,1755.012006
6.0,397,1759.572565
5.0,350,1763.576063
0.0,129,1764.978234
5.0,293,1768.38076
5.0,328,1772.093553
3.0,250,1774.925588
1.0,155,1776.624575
0.0,127,1778.017963
1.0,155,1779.711808
3.0,230,1782.41263
1.0,155,1784.097004
0.0,125,1785.428037
3.0,251,1788.257292
10.0,411,1792.93704
0.0,127,1794.251935
5.0,350,1798.305614
9.0,404,1802.920828
2.0,220,1805.372662
2.0,202,1807.565547
9.0,404,1812.320612
6.0,401,1816.866297
0.0,129,1818.263467
12.0,514,1824.295789
1.0,171,1826.273531
1.0,155,1827.992815
3.0,216,1830.435489
2.0,223,1833.083499
5.0,310,1836.618421
3.0,255,1839.571267
1.0,177,1841.531741
2.0,186,1843.553201
2.0,203,1845.895348
0.0,125,1847.268257
1.0,157,1848.970959
2.0,185,1851.060061
4.0,300,1854.533939
0.0,129,1855.886644
3.0,211,1858.244532
9.0,404,1862.943844
2.0,183,1864.958615
5.0,350,1868.998343
6.0,399,1873.578727
1.0,155,1875.307076
8.0,448,1880.505313
6.0,396,1885.09918
1.0,177,1887.101265
5.0,372,1891.298698
2.0,181,1893.349255
0.0,127,1894.737753
1.0,155,1896.448104
9.0,401,1901.082201
2.0,183,1903.147538
0.0,127,1904.512753
5.0,350,1908.564353
0.0,129,1909.977047
2.0,187,1912.016443
2.0,201,1914.285967
0.0,129,1915.660808
5.0,351,1919.654364
0.0,127,1921.025338
1.0,177,1922.966512
1.0,158,1924.752193
6.0,400,1929.346848
1.0,157,1931.062247
4.0,297,1934.448227
5.0,344,1938.374785
2.0,225,1940.988076
11.0,481,1946.504779
1.0,157,1948.178868
6.0,399,1952.67536
