#{"t_start": 1523290701.0875504, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,127,333.574027
2.0,204,335.941456
2.0,187,338.200713
2.0,223,340.873812
1.0,173,342.869726
0.0,129,344.375188
0.0,127,345.833467
3.0,248,348.79231
1.0,158,350.635031
3.0,218,353.255642
1.0,156,355.093803
1.0,177,357.173013
3.0,214,359.637856
1.0,157,361.503941
0.0,127,362.906327
1.0,155,364.74451
2.0,226,367.420263
0.0,125,368.884058
0.0,125,370.317316
1.0,175,372.387747
0.0,129,373.797613
0.0,129,375.211767
2.0,185,377.361502
6.0,381,381.9833
0.0,127,383.413168
1.0,175,385.442772
5.0,321,389.380319
4.0,291,392.93248
0.0,129,394.350764
1.0,157,396.18088
1.0,171,398.162863
1.0,155,399.892967
0.0,127,401.336173
1.0,175,403.385741
2.0,224,406.039806
1.0,157,407.79987
4.0,299,411.36286
3.0,250,414.367858
0.0,127,415.747243
4.0,320,419.574871
0.0,127,420.990347
0.0,129,422.462046
1.0,175,424.501273
2.0,182,426.644827
4.0,299,430.293129
0.0,125,431.741432
1.0,153,433.535329
1.0,153,435.277432
0.0,129,436.722738
0.0,125,438.127657
3.0,271,441.396887
4.0,297,444.90288
2.0,206,447.4028
5.0,306,451.162064
0.0,129,452.599452
0.0,127,454.031495
3.0,256,457.069482
4.0,298,460.686362
3.0,268,463.922177
2.0,222,466.518631
3.0,250,469.57168
1.0,157,471.355869
0.0,129,472.800202
1.0,157,474.553716
1.0,175,476.563894
4.0,279,479.86285
2.0,202,482.293207
0.0,125,483.719451
2.0,202,486.043097
3.0,250,488.981051
0.0,127,490.429225
3.0,254,493.444579
0.0,127,494.938022
2.0,223,497.616076
1.0,173,499.62159
5.0,348,503.881059
0.0,129,505.328423
0.0,127,506.746151
0.0,129,508.26323
1.0,171,510.206996
0.0,127,511.629302
0.0,129,513.112059
0.0,127,514.569671
1.0,175,516.539473
1.0,173,518.531534
1.0,170,520.531459
3.0,248,523.402304
3.0,268,526.572653
0.0,127,527.945029
2.0,202,530.336737
1.0,152,532.015685
0.0,129,533.48508
0.0,125,534.921833
2.0,202,537.27178
1.0,172,539.192781
3.0,252,542.130321
0.0,127,543.484166
0.0,129,544.892895
0.0,129,546.348702
1.0,152,548.1119
2.0,202,550.441904
1.0,153,552.206831
2.0,202,554.602382
2.0,202,556.935848
0.0,125,558.329593
3.0,248,561.268499
1.0,176,563.292105
3.0,272,566.586202
3.0,253,569.536015
5.0,329,573.519751
5.0,352,577.653906
0.0,127,579.017404
0.0,123,580.396998
4.0,299,584.049941
1.0,173,586.050251
0.0,125,587.459094
1.0,170,589.445716
2.0,204,591.950511
1.0,157,593.764054
4.0,278,597.069066
1.0,153,598.829841
1.0,174,600.842319
0.0,129,602.290453
1.0,172,604.320878
2.0,219,606.905886
2.0,222,609.544502
1.0,175,611.499203
1.0,175,613.509295
2.0,222,616.265452
1.0,173,618.223254
2.0,181,620.335325
0.0,127,621.792881
1.0,156,623.618025
1.0,176,625.706037
3.0,230,628.450087
1.0,173,630.462691
4.0,298,634.017021
1.0,178,636.110739
0.0,127,637.6023
1.0,175,639.694751
1.0,173,641.71559
1.0,157,643.523175
0.0,127,644.959124
0.0,127,646.383122
1.0,150,648.075736
0.0,127,649.502186
0.0,127,650.927637
1.0,153,652.695328
0.0,129,654.130775
0.0,125,655.529027
1.0,177,657.568145
3.0,248,660.43092
1.0,175,662.477917
3.0,248,665.467512
4.0,319,669.297344
2.0,206,671.744413
2.0,202,674.087491
2.0,224,676.726151
2.0,185,678.795345
0.0,123,680.238951
2.0,186,682.366621
0.0,125,683.791317
0.0,127,685.210639
1.0,153,686.946905
2.0,183,689.132438
1.0,171,691.113842
4.0,301,694.724468
0.0,125,696.179729
0.0,129,697.595536
1.0,173,699.602077
0.0,129,701.091838
1.0,172,703.044039
0.0,129,704.495178
0.0,127,705.920084
0.0,129,707.382178
0.0,123,708.760408
0.0,127,710.156059
1.0,173,712.14902
0.0,129,713.568831
0.0,129,715.00746
0.0,127,716.42756
0.0,127,717.849962
2.0,226,720.602098
2.0,223,723.246936
0.0,127,724.691723
0.0,129,726.183071
0.0,127,727.639031
0.0,127,729.063452
0.0,127,730.469143
0.0,127,731.900251
3.0,248,734.821911
1.0,178,736.898815
2.0,201,739.265606
2.0,224,741.950228
5.0,308,745.64933
8.0,377,750.165721
4.0,280,753.43877
4.0,313,757.17608
9.0,399,761.973003
10.0,432,767.262499
0.0,125,768.663029
0.0,127,770.073322
1.0,155,771.847476
0.0,129,773.286234
7.0,323,777.107177
1.0,155,778.874836
2.0,220,781.483469
0.0,125,782.869172
0.0,127,784.235077
8.0,375,788.678089
0.0,129,790.122293
10.0,456,795.633338
0.0,127,797.055537
3.0,272,800.26093
4.0,301,803.786606
9.0,405,808.541504
0.0,127,809.967979
2.0,202,812.400794
0.0,129,813.827024
5.0,337,817.679001
0.0,127,819.112252
0.0,127,820.508836
0.0,129,821.949471
1.0,173,823.893138
0.0,127,825.280766
0.0,129,826.708965
1.0,178,828.813942
0.0,129,830.178668
0.0,127,831.583174
0.0,127,833.002848
0.0,125,834.364484
0.0,129,835.744596
0.0,127,837.146276
0.0,127,838.607141
0.0,127,840.050694
1.0,173,842.03701
0.0,125,843.374892
0.0,129,844.829049
2.0,202,847.138256
0.0,129,848.601044
0.0,125,849.994784
2.0,200,852.310107
2.0,205,854.659376
1.0,173,856.657327
2.0,202,858.976517
0.0,125,860.386945
2.0,222,862.927151
4.0,319,866.690039
0.0,129,868.066049
0.0,127,869.424069
0.0,127,870.837604
2.0,200,873.239779
0.0,129,874.680976
2.0,202,877.022514
3.0,248,879.891207
4.0,299,883.541459
4.0,297,887.038834
2.0,202,889.361176
6.0,382,894.016506
13.0,478,899.695132
0.0,127,901.161588
2.0,224,903.831922
0.0,127,905.219733
2.0,225,907.920723
2.0,202,910.278083
0.0,129,911.724432
5.0,350,915.871305
0.0,125,917.241813
5.0,350,921.403903
0.0,125,922.740043
0.0,127,924.175449
2.0,200,926.515697
0.0,127,927.921065
0.0,127,929.338356
0.0,129,930.809605
9.0,404,935.669421
5.0,350,939.872513
0.0,125,941.274241
0.0,129,942.676096
5.0,350,946.819275
5.0,350,950.905196
2.0,198,953.183317
0.0,123,954.585588
0.0,127,956.043639
0.0,129,957.496014
1.0,173,959.441461
0.0,125,960.819835
0.0,129,962.234003
0.0,129,963.676496
0.0,125,965.030965
0.0,125,966.400165
0.0,127,967.866593
0.0,127,969.263084
0.0,129,970.700265
2.0,198,973.026118
2.0,202,975.449646
0.0,129,976.892351
0.0,129,978.33058
0.0,129,979.695687
2.0,202,982.001474
2.0,202,984.314858
10.0,451,989.579607
5.0,350,993.775058
0.0,127,995.127862
2.0,198,997.382469
0.0,127,998.74619
5.0,350,1003.01443
5.0,350,1007.145985
0.0,127,1008.552312
10.0,453,1013.961264
0.0,127,1015.354472
0.0,127,1016.711603
0.0,129,1018.151834
0.0,129,1019.566837
0.0,127,1020.956145
0.0,125,1022.346522
0.0,129,1023.793168
3.0,268,1027.00422
0.0,127,1028.394324
0.0,127,1029.795392
6.0,421,1034.798696
0.0,129,1036.240792
4.0,299,1039.746379
8.0,350,1043.89217
0.0,129,1045.338771
0.0,127,1046.771984
1.0,172,1048.806072
5.0,349,1052.932333
0.0,127,1054.411971
0.0,127,1055.869052
9.0,404,1060.715031
5.0,350,1064.981553
0.0,129,1066.382102
0.0,129,1067.824813
2.0,202,1070.202248
0.0,125,1071.564321
4.0,297,1075.121274
0.0,129,1076.595712
2.0,202,1078.912014
0.0,127,1080.291631
2.0,202,1082.567963
0.0,127,1083.979179
2.0,202,1086.272611
0.0,127,1087.71391
4.0,319,1091.470571
2.0,220,1093.96689
0.0,127,1095.35524
5.0,327,1099.146683
8.0,375,1103.508363
1.0,157,1105.273661
0.0,129,1106.763719
0.0,129,1108.232855
2.0,198,1110.512198
5.0,350,1114.738647
0.0,129,1116.202662
1.0,173,1118.164068
0.0,127,1119.532156
2.0,200,1121.892375
5.0,350,1125.992585
0.0,125,1127.388744
0.0,127,1128.801381
0.0,129,1130.268896
0.0,129,1131.71505
2.0,202,1134.137068
0.0,129,1135.563724
3.0,248,1138.482916
6.0,377,1142.918157
9.0,404,1147.798024
0.0,127,1149.215149
