#{"t_start": 1523290701.0477996, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
3.0,234,334.953329
1.0,174,337.010698
3.0,216,339.548266
0.0,127,341.042492
7.0,380,345.732098
1.0,178,347.785974
0.0,129,349.282799
2.0,187,351.46369
1.0,154,353.267113
2.0,203,355.716568
0.0,129,357.182658
0.0,125,358.587879
0.0,129,360.032477
0.0,127,361.462628
2.0,224,364.128188
1.0,173,366.141887
1.0,175,368.199195
0.0,125,369.653064
1.0,157,371.510623
2.0,200,373.832507
2.0,200,376.1377
1.0,156,377.937912
0.0,129,379.379936
0.0,127,380.815136
5.0,327,384.709287
1.0,175,386.821133
1.0,173,388.830711
1.0,176,390.892442
0.0,129,392.35205
2.0,199,394.700324
2.0,186,396.881333
1.0,157,398.71008
5.0,324,402.581735
0.0,129,404.071478
3.0,250,407.042731
1.0,175,408.964046
1.0,157,410.781087
1.0,173,412.780748
0.0,127,414.219018
2.0,225,416.878299
0.0,129,418.298552
3.0,270,421.520881
1.0,157,423.333682
1.0,157,425.171345
0.0,129,426.610709
1.0,175,428.669875
0.0,125,430.079013
1.0,155,431.949767
2.0,220,434.555052
5.0,325,438.531733
0.0,123,439.87453
4.0,269,443.064024
0.0,129,444.495801
0.0,127,445.923414
1.0,155,447.787201
0.0,129,449.265453
1.0,174,451.311567
3.0,237,454.143519
0.0,127,455.570243
1.0,153,457.270416
3.0,272,460.558066
1.0,155,462.349584
0.0,127,463.788162
4.0,300,467.42283
1.0,176,469.508253
2.0,181,471.601119
1.0,173,473.568373
2.0,186,475.734246
0.0,127,477.136573
4.0,303,480.722712
0.0,129,482.218742
7.0,416,487.258173
2.0,202,489.645599
0.0,127,491.054092
0.0,129,492.511084
1.0,155,494.328399
0.0,127,495.808407
1.0,171,497.799133
0.0,127,499.222387
0.0,129,500.684832
0.0,127,502.09281
0.0,127,503.541476
1.0,175,505.586263
1.0,173,507.636919
0.0,129,509.097515
