nupdates,total_timesteps,explained_variance,value_loss,fps,policy_entropy
1,80,-88.76270294189453,0.004407747648656368,,1.3531568050384521
100,8000,-0.02064836025238037,0.0016902054194360971,36,1.3518409729003906
200,16000,-0.6248903274536133,0.0030640368349850178,70,1.3505899906158447
300,24000,-0.40695154666900635,0.009180465713143349,102,1.3600962162017822
400,32000,-0.2755703926086426,0.002761242212727666,133,1.3674660921096802
500,40000,-0.43418872356414795,0.000946688640397042,162,1.3800381422042847
600,48000,0.037235796451568604,0.048214200884103775,189,1.3843119144439697
700,56000,-0.04258286952972412,0.024237114936113358,216,1.3543367385864258
800,64000,0.02821880578994751,0.04052960127592087,241,1.3592545986175537
900,72000,0.3378608226776123,0.00017866058624349535,265,1.367117166519165
1000,80000,-0.02690911293029785,0.019781602546572685,287,1.3154243230819702
1100,88000,-0.14298295974731445,0.011803959496319294,309,1.2826286554336548
1200,96000,-0.030772805213928223,0.014776252210140228,330,1.3782148361206055
1300,104000,0.011961281299591064,0.007184700574725866,350,1.3801653385162354
1400,112000,-0.026082515716552734,0.006510207895189524,369,1.3837343454360962
1500,120000,-0.03841257095336914,0.012420041486620903,387,1.3821977376937866
1600,128000,-0.017739415168762207,0.0010706792818382382,405,1.3768022060394287
1700,136000,0.008753299713134766,0.024794485419988632,422,1.3838344812393188
1800,144000,0.0032930970191955566,0.035989899188280106,438,1.385287880897522
1900,152000,0.005260050296783447,0.04922604560852051,453,1.3834545612335205
2000,160000,0.01226818561553955,0.030460303649306297,468,1.3836268186569214
2100,168000,0.03396022319793701,0.1240815743803978,483,1.3794201612472534
2200,176000,0.021293818950653076,0.008447621949017048,497,1.3855077028274536
2300,184000,0.7587477564811707,3.366526652825996e-05,510,1.3741881847381592
2400,192000,0.05069398880004883,0.029515255242586136,523,1.385190725326538
2500,200000,0.06571978330612183,0.04275059700012207,536,1.3854649066925049
2600,208000,0.04432785511016846,0.03016425110399723,548,1.3846189975738525
2700,216000,0.04368782043457031,0.018832702189683914,560,1.3821909427642822
2800,224000,0.06608307361602783,0.0072945645079016685,571,1.3831021785736084
2900,232000,-0.00027048587799072266,0.0022231757175177336,582,1.381831407546997
3000,240000,-0.004867076873779297,0.020315077155828476,593,1.3846187591552734
3100,248000,0.677278071641922,8.490601612720639e-05,603,1.3830066919326782
3200,256000,0.02814304828643799,0.009374449029564857,614,1.359273076057434
3300,264000,0.0771247148513794,0.014381097629666328,623,1.3832136392593384
3400,272000,0.6066912114620209,0.0006897577550262213,633,1.3835638761520386
3500,280000,0.0932626724243164,0.001886138692498207,642,1.3813492059707642
3600,288000,0.26433664560317993,0.0026383264921605587,651,1.3817532062530518
3700,296000,0.2862984538078308,0.0016254748916253448,660,1.380333423614502
3800,304000,0.18354737758636475,0.021613135933876038,669,1.3808759450912476
3900,312000,0.2351418137550354,0.01197732426226139,677,1.3774240016937256
4000,320000,0.0840560793876648,0.0030607073567807674,685,1.3846919536590576
4100,328000,0.36945897340774536,0.0009142464841715991,692,1.3838919401168823
4200,336000,0.47632843255996704,0.001774430274963379,700,1.3836208581924438
4300,344000,0.4906091094017029,0.0024887858889997005,707,1.3823610544204712
4400,352000,0.4067538380622864,0.04226982966065407,715,1.3848724365234375
4500,360000,0.4305817484855652,0.014461934566497803,721,1.3859003782272339
4600,368000,0.05658954381942749,0.04418119043111801,728,1.3829039335250854
4700,376000,0.2978406548500061,0.004234199412167072,735,1.3843040466308594
4800,384000,0.22501355409622192,0.026099447160959244,741,1.3837133646011353
4900,392000,0.5108284056186676,0.0024337945505976677,747,1.3844646215438843
5000,400000,0.2060927152633667,0.024157878011465073,754,1.3850376605987549
5100,408000,0.360626757144928,0.01873004250228405,760,1.3823864459991455
5200,416000,0.5484980642795563,0.016547096893191338,766,1.3805372714996338
5300,424000,0.6961327195167542,0.004787832032889128,771,1.3820383548736572
5400,432000,0.7142126262187958,0.009394867345690727,777,1.3785510063171387
5500,440000,0.5168693363666534,0.0028453911654651165,783,1.3828736543655396
5600,448000,0.6059561371803284,0.04246949777007103,788,1.3804881572723389
5700,456000,0.5878759622573853,0.004735796712338924,793,1.3816423416137695
5800,464000,0.8421498537063599,0.00772858876734972,798,1.379751205444336
5900,472000,0.5506736636161804,0.009981698356568813,803,1.382004976272583
6000,480000,0.8506137728691101,0.0024193839635699987,808,1.3842130899429321
6100,488000,0.9110851511359215,0.0031652047764509916,813,1.3817055225372314
6200,496000,0.7560290396213531,0.0017340853810310364,818,1.38471257686615
6300,504000,0.8497306704521179,0.015593504533171654,822,1.3813515901565552
6400,512000,0.6722196936607361,0.0004895820748060942,827,1.3852903842926025
6500,520000,-2.003798007965088,0.004071340896189213,831,1.3831697702407837
6600,528000,0.8702318072319031,0.011570470407605171,836,1.3813074827194214
6700,536000,0.8401194661855698,0.01119211781769991,840,1.3824193477630615
6800,544000,0.819890096783638,0.023995397612452507,845,1.378216028213501
6900,552000,0.6152664124965668,0.028089720755815506,849,1.3846672773361206
7000,560000,0.7063935399055481,0.013641106896102428,853,1.3766857385635376
7100,568000,0.5346444845199585,0.0025643152184784412,857,1.374716877937317
7200,576000,0.7918254286050797,0.018800782039761543,861,1.3772103786468506
7300,584000,0.7816655039787292,0.0038970510940998793,865,1.3760501146316528
7400,592000,0.8379158526659012,0.025746595114469528,869,1.3694982528686523
7500,600000,0.8806282207369804,0.011758172884583473,872,1.3742544651031494
7600,608000,0.9708420448005199,0.0029248904902487993,876,1.3763717412948608
7700,616000,0.6955881714820862,0.01842765137553215,880,1.3714754581451416
7800,624000,0.9435722939670086,0.004476774018257856,884,1.3302139043807983
7900,632000,0.8733255118131638,0.008140872232615948,887,1.3642631769180298
8000,640000,0.8935546353459358,0.007509934715926647,891,1.3555790185928345
8100,648000,0.873928502202034,0.016103126108646393,894,1.3584684133529663
8200,656000,0.9359070062637329,0.0006676233024336398,897,1.3639360666275024
8300,664000,0.9542673788964748,0.0034036736469715834,901,1.3581054210662842
8400,672000,0.8436359763145447,0.015986528247594833,904,1.3619732856750488
8500,680000,0.9735768605023623,0.0027320259250700474,907,1.3557294607162476
8600,688000,0.8235357850790024,0.01505900640040636,910,1.3595798015594482
8700,696000,0.9905706942081451,0.0010119857033714652,913,1.3619225025177002
8800,704000,0.9324456080794334,0.011290142312645912,916,1.3670727014541626
8900,712000,0.879053957760334,0.010660228319466114,919,1.3625800609588623
9000,720000,0.8767130374908447,0.013125158846378326,922,1.3578426837921143
9100,728000,0.8858867287635803,0.01226287242025137,925,1.3593555688858032
9200,736000,0.8595454692840576,0.017532378435134888,927,1.3479890823364258
9300,744000,0.9726071730256081,0.0015491339145228267,930,1.3417452573776245
9400,752000,0.7379480600357056,0.02626625820994377,933,1.3359321355819702
9500,760000,0.9778637643903494,0.004585019312798977,936,1.3474222421646118
9600,768000,0.8335840702056885,0.025949751958251,938,1.3389286994934082
9700,776000,0.9662898853421211,0.005153729114681482,941,1.3348357677459717
9800,784000,0.9517243318259716,0.010157737880945206,944,1.3246557712554932
9900,792000,0.917466938495636,0.005963288247585297,946,1.3472912311553955
10000,800000,0.960172139108181,0.005358773749321699,949,1.3416064977645874
10100,808000,0.9129845425486565,0.008905046619474888,951,1.351616621017456
10200,816000,0.9927785908803344,0.0012037226697430015,954,1.3514468669891357
10300,824000,0.9899532720446587,0.0011945044388994575,956,1.3415064811706543
10400,832000,0.986064120195806,0.0028710225597023964,958,1.344481348991394
10500,840000,0.8277444392442703,0.023381372913718224,961,1.3452510833740234
10600,848000,0.9550168626010418,0.006204870063811541,963,1.3420642614364624
10700,856000,0.9430068507790565,0.005457369145005941,965,1.3290958404541016
10800,864000,0.9845420150086284,0.0031160893850028515,968,1.33168625831604
10900,872000,0.9268801137804985,0.00594757916405797,970,1.345706582069397
11000,880000,0.9633807130157948,0.002993409987539053,972,1.35173761844635
11100,888000,0.8479009866714478,0.011444867588579655,974,1.3555179834365845
11200,896000,0.9879719475284219,0.0012738413643091917,976,1.3545823097229004
11300,904000,0.9939455669373274,0.001036686124280095,979,1.3503493070602417
11400,912000,0.9428316876292229,0.009222829714417458,981,1.3379157781600952
11500,920000,0.9807527922093868,0.0019595318008214235,983,1.349231481552124
11600,928000,0.9690904449671507,0.0027706034015864134,985,1.3493291139602661
11700,936000,0.9418342672288418,0.0020491082686930895,986,1.3620686531066895
11800,944000,0.9905387302860618,0.001198112964630127,988,1.351053237915039
11900,952000,0.9729772862046957,0.004654484335333109,990,1.3610082864761353
12000,960000,0.913206622004509,0.009461447596549988,992,1.3633975982666016
12100,968000,0.9846077049151063,0.0016960756620392203,994,1.3612836599349976
12200,976000,0.97295231372118,0.0019750248175114393,996,1.3614513874053955
12300,984000,0.9378955289721489,0.006374235264956951,998,1.3566176891326904
12400,992000,0.995002104435116,0.0007563527906313539,1000,1.3542298078536987
12500,1000000,0.8909879252314568,0.006182129494845867,1002,1.3653713464736938
12600,1008000,0.9366061836481094,0.010731023736298084,1003,1.3563570976257324
12700,1016000,0.9798818957060575,0.0018232244765385985,1005,1.3553270101547241
12800,1024000,0.9923047199845314,0.0011091821361333132,1007,1.358972191810608
12900,1032000,0.9791183993220329,0.0018804220017045736,1008,1.365359902381897
13000,1040000,0.983108326792717,0.0021868087351322174,1010,1.3481699228286743
13100,1048000,0.9692580383270979,0.0033486937172710896,1012,1.3530946969985962
13200,1056000,0.9846832184121013,0.0016242671990767121,1013,1.3502684831619263
13300,1064000,0.9323319792747498,0.006111788563430309,1015,1.3434085845947266
13400,1072000,0.9874561475589871,0.001791741349734366,1017,1.348114252090454
13500,1080000,0.9573792219161987,0.004131016321480274,1019,1.3223501443862915
13600,1088000,0.9603469185531139,0.003058752976357937,1020,1.3447941541671753
13700,1096000,0.9949664436280727,0.0009687525453045964,1022,1.3427724838256836
13800,1104000,0.9960282286629081,0.0007298797718249261,1023,1.3561466932296753
13900,1112000,0.9854339780285954,0.002539703156799078,1025,1.3453091382980347
14000,1120000,0.9911356745287776,0.0008882516995072365,1026,1.3444788455963135
14100,1128000,0.9891060460358858,0.0009096480207517743,1028,1.3508511781692505
14200,1136000,0.8736380040645599,0.010443933308124542,1029,1.3547275066375732
14300,1144000,0.9293540418148041,0.008492797613143921,1031,1.367466688156128
14400,1152000,0.9428762160241604,0.00754755362868309,1032,1.3694766759872437
14500,1160000,0.8958766534924507,0.011590086854994297,1034,1.3609123229980469
14600,1168000,0.8305711895227432,0.011758432723581791,1036,1.3723198175430298
14700,1176000,0.9800069220364094,0.002114611677825451,1037,1.3475059270858765
14800,1184000,0.9182535037398338,0.012546217069029808,1038,1.3515249490737915
14900,1192000,0.9905572291463614,0.0012247520498931408,1040,1.3648707866668701
15000,1200000,0.9976668024901301,0.0003697636420838535,1041,1.3491528034210205
15100,1208000,0.9788320809602737,0.0018896118272095919,1043,1.3467481136322021
15200,1216000,0.99347416870296,0.0005060610128566623,1044,1.3647664785385132
15300,1224000,0.8633376806974411,0.015189632773399353,1045,1.3595014810562134
15400,1232000,0.8774282038211823,0.020152593031525612,1047,1.3641490936279297
15500,1240000,0.9919262630864978,0.0009267187560908496,1048,1.357919454574585
15600,1248000,0.9789747577160597,0.0014394003665074706,1049,1.3631560802459717
15700,1256000,0.9497937113046646,0.005722708534449339,1051,1.3551743030548096
15800,1264000,0.9845764692872763,0.001247023930773139,1052,1.3490413427352905
15900,1272000,0.9769694916903973,0.001968527678400278,1053,1.3693056106567383
16000,1280000,0.9942923225462437,0.0006176541792228818,1055,1.3656492233276367
16100,1288000,0.9846132732927799,0.003366409335285425,1056,1.3374006748199463
16200,1296000,0.989704716950655,0.001678747357800603,1057,1.3563804626464844
16300,1304000,0.8873729035258293,0.008572906255722046,1059,1.3662707805633545
16400,1312000,0.9701992850750685,0.005655958317220211,1060,1.3732805252075195
16500,1320000,0.9765594247728586,0.0029383329674601555,1061,1.3731133937835693
16600,1328000,0.9899699604138732,0.0013118414208292961,1062,1.3641542196273804
16700,1336000,0.9501631706953049,0.005458181258291006,1063,1.362937331199646
16800,1344000,0.9928299421444535,0.001032702042721212,1064,1.340325117111206
16900,1352000,0.9328184127807617,0.006673104129731655,1066,1.3428500890731812
17000,1360000,0.9911852311342955,0.0008324274676851928,1067,1.3596020936965942
