nupdates,explained_variance,value_loss,total_timesteps,policy_entropy,fps
101000,0.9656443931162357,0.018770962953567505,8080000,0.7566367387771606,1294
101100,0.9388539604842663,0.03665362671017647,8088000,0.7848401069641113,1294
101200,0.981344748288393,0.015658052638173103,8096000,0.9171201586723328,1294
101300,0.9446516297757626,0.035027068108320236,8104000,0.8636337518692017,1294
101400,0.8821479305624962,0.04568386822938919,8112000,0.963367760181427,1294
101500,0.9497461281716824,0.05779968574643135,8120000,0.885676383972168,1295
101600,0.9108983352780342,0.4247431755065918,8128000,0.7617436647415161,1295
101700,0.9679393582046032,0.014120200648903847,8136000,0.9035888910293579,1295
101800,0.847845658659935,0.06372959911823273,8144000,0.8608099818229675,1295
101900,0.969548474997282,0.011738625355064869,8152000,0.8695036768913269,1295
102000,0.9716524910181761,0.025798985734581947,8160000,0.7882579565048218,1295
102100,0.4941197633743286,0.5105387568473816,8168000,0.7930325269699097,1295
102200,0.9491788819432259,0.023137610405683517,8176000,0.9251686334609985,1295
102300,0.9530083239078522,0.13790123164653778,8184000,0.7348824739456177,1295
102400,0.9045999422669411,0.1468254178762436,8192000,0.8139063119888306,1296
102500,0.9691364951431751,0.05394512414932251,8200000,0.8420706987380981,1296
102600,0.9824039191007614,0.011029678396880627,8208000,0.8076766133308411,1296
102700,0.8589402288198471,0.09159000962972641,8216000,0.933081328868866,1296
102800,0.943490494042635,0.11175006628036499,8224000,0.8222300410270691,1296
102900,0.9668662399053574,0.018137352541089058,8232000,1.015770673751831,1296
103000,0.4547339081764221,2.1097629070281982,8240000,0.8188868761062622,1296
103100,0.9795095417648554,0.015091188251972198,8248000,0.8971540331840515,1296
103200,0.9027839601039886,0.11461597681045532,8256000,0.88392573595047,1296
103300,0.9475145079195499,0.13373135030269623,8264000,0.8851851224899292,1296
103400,0.7455965578556061,0.36752060055732727,8272000,0.698370099067688,1297
103500,0.978902218863368,0.018602151423692703,8280000,0.8972607851028442,1297
103600,0.980987312272191,0.028169220313429832,8288000,0.9202987551689148,1297
103700,0.9429305717349052,0.058894962072372437,8296000,0.8621819615364075,1297
