policy_entropy,explained_variance,fps,total_timesteps,nupdates,value_loss
1.334628939628601,0.8862125501036644,1031,3000000,37500,0.01209598034620285
1.3004382848739624,0.8647746741771698,1031,3008000,37600,0.008439435623586178
1.2292826175689697,0.8935591205954552,1031,3016000,37700,0.012076525948941708
1.3006036281585693,0.9727504905313253,1032,3024000,37800,0.0025497195310890675
1.3332512378692627,0.8819617927074432,1032,3032000,37900,0.01427805982530117
1.3629515171051025,0.8358623087406158,1032,3040000,38000,0.013250255957245827
1.3452163934707642,0.9624415896832943,1033,3048000,38100,0.004558199550956488
1.3437564373016357,0.8716805279254913,1033,3056000,38200,0.02867845818400383
1.3402575254440308,0.9437340833246708,1033,3064000,38300,0.009327875450253487
1.1987098455429077,0.9045780748128891,1033,3072000,38400,0.008179537020623684
1.2883877754211426,0.9322120994329453,1034,3080000,38500,0.0060117305256426334
1.2599449157714844,0.8657896518707275,1034,3088000,38600,0.020326834172010422
1.2987940311431885,0.9609652496874332,1034,3096000,38700,0.004923088941723108
1.2461856603622437,0.8118739426136017,1035,3104000,38800,0.008879462257027626
1.303723931312561,0.8995483741164207,1035,3112000,38900,0.011139816604554653
1.2980616092681885,0.9683311991393566,1035,3120000,39000,0.0033154201228171587
1.3105132579803467,0.9350395128130913,1036,3128000,39100,0.00730172311887145
1.2635583877563477,0.9475689046084881,1036,3136000,39200,0.0028164901304990053
1.2904466390609741,0.9437864795327187,1036,3144000,39300,0.006987960543483496
1.3273463249206543,0.8621515780687332,1036,3152000,39400,0.0091626001521945
1.1800532341003418,0.8764878287911415,1037,3160000,39500,0.009835823439061642
1.2086541652679443,0.9053559973835945,1037,3168000,39600,0.005118535365909338
1.2151345014572144,0.9467429965734482,1037,3176000,39700,0.0036982554011046886
1.2688356637954712,0.8895155340433121,1038,3184000,39800,0.007612992078065872
1.2658733129501343,0.9808154925704002,1038,3192000,39900,0.003138131694868207
1.3203763961791992,0.8421822339296341,1038,3200000,40000,0.015859786421060562
1.225439429283142,0.7871765941381454,1038,3208000,40100,0.014500169083476067
1.25971257686615,0.9017268642783165,1039,3216000,40200,0.009829385206103325
1.3137038946151733,0.9183396697044373,1039,3224000,40300,0.007755898870527744
1.2301756143569946,0.8649433702230453,1039,3232000,40400,0.014156095683574677
1.287522315979004,0.7814819812774658,1040,3240000,40500,0.01780911721289158
1.3246160745620728,0.8550535142421722,1040,3248000,40600,0.01172169391065836
1.233154296875,0.9073884189128876,1040,3256000,40700,0.008939990773797035
1.2603776454925537,0.788050040602684,1041,3264000,40800,0.022270260378718376
1.2179899215698242,0.9031357616186142,1041,3272000,40900,0.007920591160655022
1.300519347190857,0.8612958788871765,1041,3280000,41000,0.012991254217922688
1.318259835243225,0.9411848187446594,1042,3288000,41100,0.006736542098224163
1.2813456058502197,0.827521026134491,1042,3296000,41200,0.022996367886662483
1.1561301946640015,0.8602751791477203,1042,3304000,41300,0.014621215872466564
1.1969455480575562,0.7868441045284271,1042,3312000,41400,0.010791639797389507
1.3064548969268799,0.8869106844067574,1043,3320000,41500,0.016060447320342064
1.2389724254608154,0.38959264755249023,1043,3328000,41600,0.04011956602334976
1.2998871803283691,0.8364143520593643,1043,3336000,41700,0.021375011652708054
1.2548600435256958,0.8363105803728104,1044,3344000,41800,0.025985300540924072
1.1318467855453491,0.7663847655057907,1044,3352000,41900,0.020753750577569008
1.1998441219329834,0.8688138127326965,1044,3360000,42000,0.016501203179359436
1.1914584636688232,0.6553312838077545,1045,3368000,42100,0.019953429698944092
1.2380648851394653,0.8374253660440445,1045,3376000,42200,0.015435939654707909
1.194254755973816,0.8057909309864044,1045,3384000,42300,0.022579224780201912
1.1830294132232666,0.810989499092102,1045,3392000,42400,0.01805693842470646
1.1368741989135742,0.7672580480575562,1046,3400000,42500,0.037259552627801895
1.2725436687469482,0.9645930826663971,1046,3408000,42600,0.004896035883575678
1.219077706336975,0.6554110646247864,1046,3416000,42700,0.025909384712576866
1.2029942274093628,0.8939234018325806,1047,3424000,42800,0.013049694709479809
1.0804752111434937,0.6492560803890228,1047,3432000,42900,0.039012763649225235
1.104059100151062,0.8499881774187088,1047,3440000,43000,0.013119304552674294
1.2410506010055542,0.881878137588501,1048,3448000,43100,0.011115562170743942
1.1803289651870728,0.872127503156662,1048,3456000,43200,0.00911084283143282
1.3197954893112183,0.604768693447113,1048,3464000,43300,0.009327184408903122
1.24049711227417,0.8485754430294037,1048,3472000,43400,0.01750754751265049
1.2788512706756592,0.859874501824379,1049,3480000,43500,0.015018674544990063
1.2430779933929443,0.64509317278862,1049,3488000,43600,0.03643921762704849
1.3546698093414307,0.6125318706035614,1049,3496000,43700,0.03335576131939888
1.1588101387023926,0.8734238147735596,1050,3504000,43800,0.013340207748115063
1.2077505588531494,0.7512257844209671,1050,3512000,43900,0.026228319853544235
1.2643464803695679,0.9317701607942581,1050,3520000,44000,0.009880639612674713
1.2332484722137451,0.9114883169531822,1051,3528000,44100,0.009760630317032337
1.0804811716079712,0.6711035966873169,1051,3536000,44200,0.04292062669992447
1.1041631698608398,0.6815226376056671,1051,3544000,44300,0.025529950857162476
1.2111457586288452,0.9066284969449043,1052,3552000,44400,0.012329703196883202
1.1806135177612305,0.7587738186120987,1052,3560000,44500,0.02380913309752941
1.146301031112671,0.8037133812904358,1052,3568000,44600,0.018203575164079666
1.2110140323638916,0.8754229173064232,1053,3576000,44700,0.012997436337172985
1.19891357421875,0.6499967575073242,1053,3584000,44800,0.02411043830215931
1.0553659200668335,0.8539986461400986,1053,3592000,44900,0.025029022246599197
1.1478750705718994,0.6222430467605591,1053,3600000,45000,0.04996899887919426
1.2194654941558838,0.6518912017345428,1054,3608000,45100,0.04656500369310379
1.2484663724899292,0.8568634986877441,1054,3616000,45200,0.01947442814707756
1.2562929391860962,0.9022349864244461,1054,3624000,45300,0.011546380817890167
1.2156766653060913,0.7635113149881363,1055,3632000,45400,0.020450260490179062
1.1047344207763672,0.5546052753925323,1055,3640000,45500,0.026931017637252808
1.0485665798187256,0.8622186332941055,1055,3648000,45600,0.009988345205783844
0.9672975540161133,0.8063295632600784,1056,3656000,45700,0.022520165890455246
1.0952398777008057,0.5990532338619232,1056,3664000,45800,0.04308486729860306
1.0821577310562134,0.8098859339952469,1056,3672000,45900,0.029385438188910484
1.0614503622055054,0.91201052069664,1057,3680000,46000,0.013353857211768627
