#{"t_start": 1523324164.1696799, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,185,330.026845
0.0,127,331.623654
1.0,175,333.936275
3.0,233,337.024932
1.0,154,339.079586
0.0,129,340.782896
0.0,127,342.404698
0.0,127,344.065073
0.0,129,345.743051
2.0,224,348.765117
0.0,127,350.411309
5.0,351,355.252944
0.0,127,356.918361
1.0,173,359.289463
2.0,204,362.112551
0.0,129,363.784524
1.0,177,366.156998
3.0,248,369.584136
1.0,173,371.893797
2.0,224,374.917586
0.0,129,376.601273
0.0,127,378.244414
4.0,302,382.417787
2.0,202,385.163091
2.0,220,388.067042
0.0,127,389.700611
5.0,329,394.155654
0.0,127,395.760779
3.0,251,399.262588
1.0,173,401.588252
1.0,171,403.837095
3.0,252,407.287669
2.0,204,410.052162
0.0,127,411.642388
0.0,127,413.288321
0.0,129,414.93405
0.0,129,416.569637
0.0,127,418.264747
4.0,298,422.304903
5.0,331,426.781385
3.0,226,429.780659
0.0,127,431.359832
0.0,123,432.899065
0.0,127,434.520735
2.0,202,437.182762
0.0,129,438.810404
4.0,299,442.883554
0.0,127,444.563737
2.0,222,447.51907
5.0,349,452.356551
2.0,200,455.011199
2.0,223,458.110674
0.0,127,459.806197
0.0,127,461.455858
0.0,125,463.095822
3.0,258,466.666178
0.0,127,468.261051
1.0,159,470.33126
2.0,200,472.964365
0.0,125,474.625605
1.0,153,476.704728
2.0,183,479.177823
2.0,224,482.276564
0.0,129,483.964218
2.0,202,486.741048
1.0,157,488.809043
0.0,127,490.478278
0.0,129,492.110291
4.0,288,496.089621
2.0,205,498.841445
0.0,129,500.554837
4.0,280,504.390919
0.0,125,505.95327
0.0,127,507.622592
0.0,129,509.234839
1.0,173,511.567172
5.0,329,516.070196
2.0,205,518.84406
0.0,123,520.431263
0.0,129,522.090654
2.0,225,525.125319
4.0,299,529.27957
2.0,201,531.986027
1.0,155,534.017807
4.0,325,538.494015
1.0,173,540.831727
4.0,300,544.940392
4.0,281,548.841739
2.0,198,551.558037
0.0,129,553.182009
2.0,202,555.883505
2.0,186,558.395217
8.0,475,564.925682
0.0,129,566.529415
0.0,129,568.11827
3.0,230,571.311363
3.0,246,574.62892
6.0,379,579.724853
2.0,226,582.661737
0.0,129,584.306623
2.0,221,587.254337
1.0,173,589.587817
1.0,157,591.629647
0.0,125,593.192026
1.0,173,595.478118
1.0,174,597.830581
2.0,202,600.589716
0.0,127,602.270992
2.0,185,604.805812
2.0,202,607.530331
5.0,317,611.911651
1.0,153,613.928109
0.0,127,615.552202
4.0,297,619.602034
5.0,354,624.379022
1.0,175,626.656724
0.0,127,628.332462
1.0,176,630.669975
0.0,127,632.325318
2.0,222,635.308058
1.0,175,637.604468
2.0,202,640.322727
2.0,183,642.741422
3.0,250,646.197695
1.0,172,648.453405
1.0,174,650.735366
1.0,155,652.812499
0.0,129,654.483461
0.0,129,656.135893
0.0,127,657.826468
0.0,123,659.411113
4.0,283,663.408996
0.0,125,665.075415
0.0,129,666.728913
1.0,176,669.108322
3.0,232,672.255581
0.0,125,673.864161
2.0,222,676.920598
1.0,153,679.058829
1.0,153,681.071362
1.0,151,683.057082
1.0,170,685.294578
0.0,127,686.954165
1.0,173,689.226568
1.0,173,691.518315
1.0,173,693.805654
0.0,127,695.422621
1.0,173,697.701035
1.0,173,700.024068
0.0,129,701.668463
2.0,185,704.122264
0.0,123,705.713537
0.0,127,707.385717
1.0,152,709.371573
0.0,127,710.965113
2.0,202,713.722531
3.0,248,717.110296
0.0,127,718.871463
3.0,231,722.026508
1.0,171,724.319295
0.0,129,725.96812
0.0,125,727.575201
1.0,175,729.886584
1.0,172,732.234818
2.0,202,734.977111
1.0,155,737.041052
1.0,155,739.116833
0.0,127,740.786096
1.0,176,743.149951
0.0,127,744.885432
4.0,297,748.951819
0.0,129,750.616461
4.0,278,754.434285
0.0,129,756.078605
2.0,201,758.834045
1.0,157,760.914013
0.0,127,762.586155
2.0,220,765.546408
2.0,201,768.176048
0.0,127,769.812655
2.0,200,772.530658
0.0,129,774.161346
2.0,224,777.081258
0.0,129,778.773985
0.0,129,780.425424
1.0,171,782.722453
2.0,203,785.486601
2.0,220,788.498065
2.0,198,791.201393
0.0,129,792.873255
6.0,398,798.503029
0.0,125,800.125026
2.0,225,803.133592
0.0,127,804.799811
2.0,225,807.887472
1.0,174,810.165458
0.0,125,811.787488
2.0,202,814.43182
6.0,377,819.622796
3.0,252,822.973256
0.0,127,824.6102
0.0,127,826.188153
0.0,129,827.855464
1.0,153,829.833889
5.0,332,834.382894
0.0,125,835.951052
0.0,129,837.624274
1.0,174,839.938406
0.0,127,841.574525
2.0,220,844.594176
1.0,173,846.901482
0.0,127,848.496511
5.0,349,853.395644
1.0,159,855.529362
0.0,129,857.228009
1.0,155,859.256442
3.0,251,862.784065
4.0,282,866.62197
3.0,272,870.276648
0.0,129,871.923707
0.0,127,873.559987
0.0,123,875.072387
0.0,127,876.701343
0.0,125,878.351785
0.0,125,879.948061
0.0,127,881.596478
3.0,272,885.406017
1.0,177,887.761214
0.0,129,889.413811
3.0,229,892.496253
0.0,129,894.197813
1.0,173,896.496068
0.0,127,898.156755
2.0,202,900.872051
1.0,175,903.198901
1.0,157,905.26559
5.0,348,910.055016
1.0,155,912.11182
1.0,169,914.393369
3.0,252,917.798123
0.0,123,919.354534
0.0,127,921.047565
0.0,129,922.697813
3.0,248,926.059883
1.0,173,928.333276
0.0,127,929.97978
2.0,202,932.675635
4.0,321,936.951936
3.0,249,940.366801
0.0,127,941.963175
0.0,129,943.641942
1.0,171,945.880584
2.0,205,948.697581
2.0,201,951.385477
2.0,222,954.418381
0.0,125,956.020131
0.0,125,957.597369
3.0,252,960.991201
1.0,153,963.042557
2.0,202,965.722479
0.0,127,967.386697
1.0,157,969.473019
0.0,125,971.076393
0.0,127,972.712045
0.0,127,974.360847
0.0,129,976.015957
2.0,208,978.869816
0.0,129,980.515983
4.0,299,984.558572
0.0,127,986.180908
4.0,324,990.618546
1.0,178,992.985008
0.0,127,994.573559
3.0,234,997.718665
1.0,155,999.780305
1.0,157,1001.815291
0.0,125,1003.40709
0.0,127,1005.051668
3.0,272,1008.90202
1.0,178,1011.337521
0.0,129,1013.015261
0.0,127,1014.687424
2.0,204,1017.439741
0.0,127,1019.123561
0.0,129,1020.748644
3.0,233,1023.876306
1.0,173,1026.137052
2.0,202,1028.815188
0.0,127,1030.468834
4.0,278,1034.197268
0.0,127,1035.865831
0.0,129,1037.526198
1.0,178,1039.867206
0.0,127,1041.504202
1.0,173,1043.850289
4.0,280,1047.578583
0.0,127,1049.150754
0.0,129,1050.762163
4.0,297,1054.76946
0.0,125,1056.277949
1.0,172,1058.555211
1.0,159,1060.638286
4.0,319,1065.024673
3.0,248,1068.399397
4.0,297,1072.503335
2.0,186,1074.999207
0.0,127,1076.641739
1.0,155,1078.797776
2.0,186,1081.313586
2.0,220,1084.273151
0.0,125,1085.835757
1.0,176,1088.17716
4.0,319,1092.660694
5.0,350,1097.346097
0.0,127,1098.967715
1.0,157,1100.998266
1.0,152,1102.911489
1.0,155,1104.954067
2.0,203,1107.723283
0.0,129,1109.450162
1.0,175,1111.725417
0.0,125,1113.296036
1.0,155,1115.345879
0.0,125,1116.99934
0.0,125,1118.65187
0.0,125,1120.239625
0.0,125,1121.796618
2.0,225,1124.815029
3.0,252,1128.285785
2.0,202,1131.05864
2.0,200,1133.717529
0.0,127,1135.316226
3.0,250,1138.821354
3.0,252,1142.2068
2.0,183,1144.666973
1.0,155,1146.682679
5.0,346,1151.436221
0.0,129,1153.094709
2.0,225,1156.117602
1.0,176,1158.420476
2.0,203,1161.154597
0.0,127,1162.781098
1.0,175,1165.059807
