#{"t_start": 1523315444.5523882, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,127,333.638427
2.0,202,336.238015
1.0,171,338.32846
0.0,129,339.911115
0.0,129,341.524836
1.0,171,343.626658
0.0,127,345.196114
1.0,173,347.348772
0.0,129,348.955316
1.0,173,351.079145
3.0,214,353.795624
1.0,157,355.773693
4.0,297,359.592777
9.0,377,364.604254
5.0,354,369.165353
1.0,155,371.187813
0.0,129,372.810094
1.0,155,374.752477
4.0,301,378.731184
0.0,127,380.295345
0.0,127,381.893334
6.0,396,387.081562
0.0,129,388.630454
0.0,129,390.244952
1.0,153,392.064044
2.0,202,394.625469
0.0,129,396.195248
0.0,129,397.774176
1.0,155,399.691461
1.0,155,401.61552
4.0,301,405.496913
4.0,299,409.281829
1.0,173,411.520143
0.0,129,413.050914
0.0,127,414.508434
3.0,250,417.654916
2.0,197,420.089909
0.0,127,421.597508
1.0,155,423.524572
3.0,213,426.232779
4.0,300,430.062066
1.0,158,432.000456
1.0,153,433.873022
2.0,199,436.388881
2.0,198,438.957404
1.0,153,440.847983
0.0,127,442.401888
0.0,125,443.894827
2.0,188,446.282492
2.0,200,448.780301
0.0,125,450.298987
0.0,127,451.838144
1.0,173,453.965656
0.0,129,455.49593
0.0,127,457.033244
0.0,129,458.588075
0.0,127,460.116535
2.0,198,462.627622
0.0,129,464.197757
3.0,272,467.742872
2.0,202,470.247309
3.0,254,473.494185
1.0,176,475.672167
0.0,129,477.200497
1.0,175,479.401439
0.0,125,480.938829
1.0,173,483.072498
0.0,129,484.609245
0.0,129,486.21701
0.0,127,487.73185
0.0,125,489.180533
0.0,125,490.701717
0.0,127,492.306254
0.0,123,493.788807
2.0,198,496.289705
0.0,127,497.800931
0.0,127,499.361616
3.0,232,502.352906
0.0,125,503.889383
0.0,129,505.409096
1.0,175,507.571048
1.0,155,509.48056
0.0,127,511.033066
0.0,129,512.580478
3.0,251,515.855251
2.0,201,518.383729
1.0,155,520.262339
2.0,202,522.772089
0.0,127,524.352606
0.0,129,525.914684
0.0,129,527.46449
0.0,123,528.941887
2.0,187,531.23572
