#{"t_start": 1523315444.7318702, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,203,334.531846
2.0,222,337.339365
2.0,203,339.904566
6.0,348,344.466643
0.0,127,346.043248
0.0,129,347.622868
0.0,127,349.161186
0.0,129,350.68945
0.0,129,352.253991
0.0,125,353.789427
2.0,199,356.325791
1.0,176,358.490686
3.0,245,361.669367
0.0,127,363.231689
2.0,186,365.533027
0.0,125,367.060718
3.0,254,370.324322
1.0,152,372.28967
1.0,177,374.573046
0.0,125,376.088125
0.0,125,377.649014
0.0,127,379.235005
2.0,223,382.138103
3.0,228,385.078469
0.0,125,386.560237
2.0,220,389.363039
1.0,172,391.451401
2.0,226,394.342412
1.0,173,396.514979
0.0,129,398.086495
10.0,454,404.077305
0.0,127,405.602578
0.0,129,407.123975
0.0,129,408.649272
1.0,173,410.845179
1.0,175,413.02939
5.0,327,417.136864
1.0,169,419.20742
3.0,235,422.146619
0.0,127,423.717494
3.0,268,427.171493
5.0,328,431.372629
0.0,129,432.933354
1.0,171,435.06874
2.0,206,437.71312
0.0,127,439.309122
2.0,223,442.108289
0.0,127,443.640316
0.0,129,445.251996
2.0,225,448.098878
2.0,200,450.642828
0.0,127,452.115939
3.0,230,455.008499
0.0,127,456.518399
0.0,125,458.062382
1.0,173,460.227582
0.0,129,461.76432
4.0,301,465.694201
0.0,129,467.27562
0.0,125,468.760481
1.0,155,470.681496
2.0,204,473.21632
1.0,173,475.354944
1.0,173,477.505886
1.0,155,479.438416
1.0,175,481.674834
0.0,125,483.131139
0.0,129,484.688132
5.0,339,489.051872
1.0,173,491.253015
2.0,222,494.119044
6.0,277,497.684141
0.0,127,499.24123
0.0,129,500.797458
2.0,200,503.359306
2.0,188,505.654954
8.0,354,510.251848
2.0,200,512.857579
0.0,127,514.351705
0.0,127,515.943098
0.0,129,517.505865
2.0,202,519.991901
1.0,175,522.160789
1.0,157,524.124908
1.0,171,526.271771
0.0,127,527.788729
2.0,202,530.30784
