#{"t_start": 1523315444.8063536, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
4.0,299,335.756127
1.0,177,337.926475
4.0,299,341.862641
1.0,171,343.98498
0.0,129,345.576433
0.0,129,347.146044
1.0,176,349.38175
5.0,330,353.652199
0.0,127,355.227951
1.0,171,357.32819
0.0,127,358.853735
1.0,155,360.80814
0.0,127,362.36023
0.0,129,363.945959
1.0,158,365.871452
3.0,228,368.730094
1.0,155,370.745939
0.0,129,372.364067
0.0,127,373.905672
1.0,172,376.117389
1.0,173,378.32563
1.0,155,380.30187
1.0,155,382.27254
0.0,127,383.827941
1.0,153,385.713904
3.0,274,389.205353
0.0,127,390.74925
3.0,266,394.138413
2.0,202,396.718478
1.0,173,398.875646
0.0,127,400.398801
2.0,202,403.011785
0.0,127,404.522303
6.0,379,409.391828
0.0,127,410.987752
2.0,204,413.527871
4.0,299,417.277116
0.0,127,418.751354
0.0,127,420.299491
4.0,299,424.156994
0.0,125,425.658155
1.0,176,427.855663
1.0,171,429.946238
1.0,175,432.114151
2.0,224,434.956355
2.0,183,437.279259
1.0,178,439.588888
0.0,127,441.071908
1.0,176,443.274387
0.0,129,444.854625
2.0,223,447.721051
0.0,123,449.197482
0.0,125,450.723826
2.0,207,453.264677
4.0,278,456.847933
2.0,200,459.344175
3.0,248,462.533229
3.0,230,465.48384
3.0,248,468.655822
1.0,155,470.539039
7.0,415,475.954955
0.0,127,477.504969
1.0,155,479.432369
0.0,127,480.966912
1.0,173,483.121456
2.0,182,485.437197
4.0,253,488.565685
2.0,200,491.120053
0.0,129,492.745296
0.0,127,494.317363
1.0,173,496.45445
0.0,127,498.018259
2.0,200,500.508569
1.0,155,502.486676
1.0,152,504.316351
0.0,125,505.776721
0.0,127,507.34526
0.0,127,508.840529
0.0,127,510.397367
0.0,125,511.906007
0.0,125,513.444384
0.0,129,515.036281
1.0,173,517.194062
4.0,278,520.725259
1.0,173,522.860021
3.0,235,525.886972
4.0,323,530.028007
3.0,255,533.268421
0.0,129,534.835988
