#{"t_start": 1523315444.7771266, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
3.0,248,335.090414
0.0,127,336.633636
0.0,125,338.104945
0.0,125,339.619708
0.0,129,341.241523
1.0,173,343.371955
0.0,129,344.973593
1.0,173,347.126754
2.0,200,349.695358
4.0,300,353.527371
0.0,129,355.138628
2.0,203,357.697686
0.0,127,359.223022
0.0,129,360.816194
1.0,175,363.026232
1.0,173,365.179642
1.0,157,367.127909
3.0,230,370.046462
1.0,157,372.078541
2.0,186,374.483932
7.0,323,378.798743
0.0,125,380.333289
2.0,222,383.231414
1.0,173,385.391094
0.0,129,386.950597
2.0,223,389.782708
3.0,277,393.286954
0.0,127,394.856777
3.0,248,398.042263
4.0,277,401.636445
5.0,352,406.205973
0.0,127,407.696267
0.0,127,409.200218
1.0,173,411.456968
1.0,178,413.615955
0.0,127,415.079174
0.0,127,416.551173
2.0,200,419.030551
3.0,277,422.563557
0.0,129,424.146818
2.0,204,426.721037
1.0,155,428.624737
2.0,184,430.906104
1.0,173,433.058508
0.0,127,434.577879
1.0,173,436.734153
3.0,270,440.294936
2.0,217,443.045269
0.0,127,444.593538
0.0,129,446.180781
0.0,129,447.718625
1.0,155,449.637365
0.0,125,451.162024
3.0,250,454.293951
1.0,176,456.431071
2.0,222,459.285224
0.0,125,460.799645
3.0,232,463.782589
0.0,127,465.299896
9.0,386,470.337522
1.0,178,472.544085
0.0,129,474.089171
6.0,401,479.360531
3.0,250,482.570931
2.0,200,485.114212
1.0,151,486.972996
2.0,223,489.768206
2.0,186,492.159518
0.0,127,493.691988
2.0,202,496.228908
3.0,248,499.43868
2.0,202,501.994985
7.0,430,507.622455
0.0,129,509.167919
0.0,129,510.741585
0.0,129,512.298178
0.0,129,513.881784
1.0,175,516.136706
0.0,123,517.611626
0.0,127,519.073958
2.0,199,521.527725
1.0,173,523.708143
2.0,204,526.356519
0.0,129,527.879723
0.0,127,529.384903
2.0,224,532.16168
1.0,155,534.081639
0.0,127,535.652574
4.0,280,539.223221
3.0,253,542.435087
1.0,155,544.332954
0.0,127,545.875646
0.0,129,547.470569
0.0,127,549.013794
1.0,173,551.178904
2.0,224,554.017214
0.0,127,555.604431
2.0,222,558.580259
2.0,220,561.425038
2.0,181,563.791814
2.0,222,566.649458
1.0,171,568.854435
0.0,129,570.497743
0.0,127,572.052511
0.0,123,573.57413
1.0,155,575.54917
2.0,207,578.248629
8.0,372,583.122695
0.0,125,584.657875
1.0,156,586.596091
0.0,129,588.105277
2.0,203,590.739808
0.0,127,592.289126
2.0,219,595.034305
1.0,177,597.217767
3.0,250,600.422029
1.0,153,602.260085
0.0,129,603.853301
1.0,175,606.025207
0.0,127,607.552909
1.0,157,609.475481
0.0,123,610.965986
3.0,272,614.482329
0.0,125,616.00193
1.0,157,618.043393
2.0,200,620.5674
3.0,247,623.786359
0.0,129,625.300608
1.0,170,627.448043
1.0,152,629.350393
1.0,155,631.252469
0.0,129,632.803792
0.0,129,634.348197
4.0,298,638.237818
1.0,157,640.195275
5.0,346,644.717816
0.0,129,646.321572
0.0,123,647.83914
0.0,129,649.407455
1.0,173,651.569094
0.0,127,653.111829
4.0,296,656.95462
1.0,173,659.060645
0.0,125,660.576478
2.0,204,663.120566
1.0,173,665.267602
0.0,123,666.788937
3.0,251,669.956423
2.0,201,672.494869
2.0,207,675.084652
6.0,376,680.023188
