#{"t_start": 1523315444.7974179, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,157,333.807419
1.0,157,335.80082
3.0,250,338.976645
1.0,175,341.196195
1.0,153,343.073257
0.0,129,344.644707
1.0,153,346.553815
3.0,265,349.991232
0.0,127,351.488863
4.0,322,355.753856
2.0,188,358.074697
1.0,157,360.013487
2.0,198,362.552206
2.0,207,365.193286
2.0,200,367.711223
2.0,204,370.290453
0.0,129,371.893774
2.0,224,374.843594
0.0,125,376.395594
1.0,175,378.65375
1.0,173,380.86856
0.0,129,382.45419
0.0,127,384.015032
1.0,173,386.155647
0.0,129,387.697396
0.0,127,389.237949
9.0,403,394.519214
0.0,125,396.027448
0.0,125,397.55869
1.0,175,399.731391
0.0,127,401.263894
0.0,129,402.840522
3.0,270,406.290744
0.0,127,407.793312
0.0,127,409.289202
0.0,127,410.878067
2.0,202,413.399069
0.0,125,414.844642
4.0,302,418.630583
0.0,125,420.163784
4.0,280,423.762695
0.0,125,425.271372
0.0,125,426.757963
0.0,129,428.311179
1.0,157,430.227426
1.0,155,432.126955
0.0,127,433.656291
0.0,125,435.157611
2.0,225,438.081652
1.0,155,440.01133
4.0,304,443.939863
0.0,129,445.532345
8.0,415,450.993696
0.0,129,452.494648
3.0,234,455.470406
0.0,129,457.045546
2.0,205,459.589296
0.0,127,461.134014
1.0,173,463.291476
2.0,220,466.129956
2.0,224,468.964195
2.0,223,471.767762
2.0,204,474.29672
0.0,125,475.816881
2.0,202,478.402647
0.0,127,479.955374
0.0,127,481.491323
0.0,125,482.96229
1.0,153,484.846851
0.0,127,486.418152
2.0,184,488.638678
4.0,299,492.597983
5.0,334,496.946199
4.0,258,500.252295
2.0,200,502.862281
4.0,279,506.400522
0.0,127,507.92163
2.0,205,510.506536
1.0,153,512.397649
2.0,202,514.990819
0.0,129,516.584593
4.0,301,520.430273
3.0,268,523.843726
0.0,125,525.366438
2.0,224,528.230155
2.0,222,530.967028
2.0,222,533.752854
2.0,220,536.549856
0.0,127,538.054811
2.0,202,540.631735
0.0,129,542.160365
2.0,202,544.688665
4.0,285,548.403381
2.0,200,550.970778
2.0,200,553.481536
1.0,155,555.434619
2.0,200,558.091783
1.0,171,560.359818
1.0,157,562.294579
0.0,129,563.907895
0.0,127,565.401382
0.0,125,566.993959
2.0,201,569.60004
3.0,255,572.961358
0.0,127,574.580115
0.0,127,576.230696
1.0,173,578.381199
0.0,127,579.914617
1.0,173,582.041207
0.0,129,583.650652
0.0,129,585.235364
0.0,127,586.774805
0.0,125,588.24551
2.0,204,590.898235
3.0,250,594.093757
3.0,273,597.553271
1.0,175,599.738662
2.0,204,602.276707
2.0,188,604.667969
0.0,125,606.144533
0.0,127,607.676948
1.0,173,609.851657
2.0,203,612.421895
1.0,174,614.608873
0.0,127,616.125641
0.0,125,617.691441
1.0,157,619.693047
1.0,174,621.877065
1.0,178,624.113963
0.0,125,625.584517
1.0,155,627.538425
0.0,127,629.10843
1.0,155,631.002412
2.0,222,633.800317
0.0,127,635.349242
1.0,175,637.511453
2.0,219,640.34343
0.0,127,641.882148
0.0,129,643.461791
1.0,178,645.723582
0.0,129,647.335454
2.0,204,649.909979
1.0,155,651.813415
3.0,250,655.076984
1.0,153,656.960535
1.0,157,658.854119
0.0,127,660.387105
2.0,186,662.688531
3.0,250,665.859057
0.0,125,667.404085
2.0,220,670.179724
2.0,220,672.977074
0.0,127,674.445475
2.0,216,677.193052
0.0,125,678.775099
2.0,223,681.576317
1.0,157,683.531698
1.0,158,685.49675
13.0,585,693.128876
4.0,301,696.959126
2.0,222,699.767594
0.0,127,701.287775
0.0,125,702.816334
1.0,171,704.953368
2.0,200,707.514181
1.0,174,709.654977
0.0,127,711.191615
2.0,203,713.701694
0.0,125,715.149591
2.0,201,717.733019
4.0,300,721.561642
1.0,173,723.694488
1.0,153,725.495654
2.0,200,728.061871
0.0,125,729.587286
1.0,171,731.728595
0.0,129,733.322398
1.0,153,735.17859
1.0,171,737.218371
3.0,272,740.734455
1.0,173,742.90767
0.0,125,744.38378
0.0,127,745.90671
0.0,129,747.487582
1.0,175,749.679361
0.0,129,751.202134
0.0,127,752.761315
3.0,232,755.714729
0.0,127,757.281386
1.0,157,759.23008
3.0,257,762.569422
0.0,129,764.095965
0.0,127,765.656611
1.0,157,767.629191
4.0,320,771.802556
0.0,129,773.390339
3.0,233,776.381601
1.0,153,778.297741
1.0,157,780.286779
2.0,202,782.857162
0.0,127,784.40744
0.0,127,785.982839
2.0,188,788.393586
3.0,250,791.529172
1.0,173,793.655164
3.0,275,797.132035
