#{"t_start": 1523315444.7286832, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,202,334.51169
1.0,172,336.659308
0.0,129,338.207793
1.0,175,340.423053
0.0,127,341.976706
2.0,217,344.734845
0.0,125,346.253198
0.0,129,347.845094
3.0,274,351.339008
2.0,221,354.212382
4.0,299,358.064135
0.0,129,359.623836
0.0,125,361.170366
0.0,129,362.731967
1.0,155,364.667554
0.0,127,366.17652
0.0,127,367.706214
1.0,155,369.612941
0.0,129,371.264885
1.0,173,373.460966
1.0,173,375.695113
1.0,171,377.876385
3.0,248,381.141806
0.0,129,382.728529
1.0,153,384.635777
5.0,333,388.940017
2.0,202,391.454908
0.0,129,393.025097
0.0,125,394.545782
7.0,320,398.685062
1.0,175,400.922511
0.0,127,402.474984
0.0,125,403.943553
0.0,129,405.50982
0.0,125,406.9844
0.0,127,408.489495
1.0,175,410.666186
1.0,159,412.67714
2.0,200,415.1015
4.0,298,418.870484
0.0,125,420.370336
0.0,125,421.830681
1.0,157,423.806446
3.0,211,426.482995
0.0,125,427.984488
3.0,250,431.138079
2.0,186,433.452242
0.0,125,434.958918
1.0,175,437.141149
1.0,176,439.46003
2.0,222,442.270778
4.0,300,446.172702
1.0,155,448.068685
1.0,173,450.235694
1.0,173,452.339901
2.0,227,455.194598
0.0,127,456.731937
1.0,157,458.684157
4.0,318,462.821814
0.0,129,464.373651
0.0,127,465.924521
0.0,129,467.523106
2.0,202,470.014879
0.0,127,471.553901
0.0,129,473.071755
2.0,187,475.434347
1.0,178,477.669081
0.0,125,479.150388
1.0,169,481.287954
3.0,253,484.501438
0.0,127,486.081877
1.0,153,487.930924
1.0,175,490.084252
1.0,153,492.014981
1.0,173,494.207966
4.0,260,497.519795
5.0,329,501.827374
2.0,203,504.419059
0.0,129,505.921549
4.0,273,509.47128
0.0,129,511.036979
2.0,221,513.847064
1.0,174,516.086243
0.0,127,517.606237
1.0,173,519.672601
0.0,127,521.213055
0.0,129,522.759539
7.0,326,527.034098
1.0,176,529.202715
2.0,189,531.526581
0.0,127,533.03486
1.0,170,535.193065
0.0,125,536.663322
4.0,279,540.19797
2.0,185,542.55635
4.0,297,546.372032
1.0,171,548.544741
1.0,157,550.457386
5.0,353,555.11157
0.0,127,556.717569
1.0,173,559.007735
0.0,127,560.625131
0.0,129,562.180544
0.0,123,563.690981
1.0,170,565.843752
2.0,204,568.516524
0.0,127,570.071374
0.0,127,571.646102
0.0,127,573.234795
1.0,155,575.250005
2.0,202,577.869186
0.0,127,579.407894
0.0,123,580.896926
2.0,204,583.491902
2.0,223,586.333615
2.0,222,589.154066
2.0,201,591.762036
0.0,129,593.329258
2.0,204,595.863231
1.0,176,598.036652
1.0,175,600.205518
1.0,175,602.3736
0.0,129,603.958107
4.0,296,607.743944
1.0,155,609.647315
1.0,178,611.922085
1.0,155,613.82603
2.0,219,616.614346
2.0,198,619.211341
0.0,127,620.768635
2.0,201,623.284967
2.0,204,625.85767
0.0,129,627.442206
0.0,127,629.021888
2.0,219,631.797412
0.0,129,633.313808
1.0,175,635.524471
1.0,176,637.701055
1.0,174,639.908058
5.0,325,644.164445
1.0,153,646.087734
2.0,185,648.468061
1.0,170,650.554482
3.0,253,653.857594
1.0,175,656.033756
3.0,250,659.188714
3.0,216,661.926622
1.0,157,663.831159
2.0,202,666.405642
2.0,222,669.202479
0.0,129,670.768781
4.0,301,674.605959
0.0,127,676.156706
0.0,127,677.703247
0.0,127,679.296398
2.0,182,681.521696
2.0,222,684.40647
0.0,125,685.90236
7.0,408,691.154053
2.0,200,693.664559
1.0,155,695.54197
0.0,129,697.067411
1.0,157,698.984989
2.0,223,701.807437
0.0,129,703.394129
0.0,129,704.944863
0.0,125,706.483541
5.0,350,711.039011
4.0,305,714.865132
2.0,220,717.677362
5.0,331,721.941645
0.0,125,723.439829
0.0,123,724.839035
0.0,129,726.393034
0.0,129,727.999843
0.0,127,729.532741
1.0,172,731.698681
2.0,198,734.237211
3.0,247,737.264297
4.0,264,740.671284
0.0,127,742.23825
4.0,300,746.093596
5.0,287,749.799982
1.0,175,751.997652
0.0,129,753.527316
2.0,223,756.410661
0.0,129,757.949368
4.0,321,762.191898
0.0,127,763.679549
1.0,171,765.835945
2.0,201,768.422692
1.0,175,770.627569
1.0,157,772.582491
1.0,157,774.555967
1.0,174,776.72103
2.0,221,779.585161
1.0,157,781.49685
