#{"t_start": 1523315444.7742028, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,125,333.38693
10.0,434,339.126628
1.0,157,341.079222
0.0,129,342.651961
1.0,173,344.844865
0.0,127,346.377642
0.0,129,347.966611
0.0,129,349.537568
4.0,317,353.620174
0.0,127,355.200751
3.0,250,358.367466
2.0,203,360.983868
1.0,171,363.123755
3.0,270,366.587539
4.0,279,370.188046
1.0,177,372.53624
0.0,125,374.058581
3.0,258,377.458945
0.0,127,379.033393
0.0,127,380.614628
0.0,129,382.20245
1.0,155,384.143246
5.0,344,388.605027
0.0,125,390.161936
0.0,125,391.593613
2.0,200,394.101403
0.0,129,395.685327
0.0,127,397.230885
0.0,127,398.748987
0.0,129,400.306359
0.0,129,401.920451
1.0,174,404.081276
0.0,127,405.623247
0.0,129,407.142268
2.0,209,409.741488
0.0,129,411.384315
5.0,350,415.770932
1.0,153,417.653992
5.0,345,422.034198
0.0,127,423.602465
0.0,129,425.166978
2.0,183,427.463212
0.0,123,428.941055
1.0,155,430.79036
0.0,129,432.367279
0.0,125,433.868145
0.0,125,435.399849
2.0,202,437.975521
7.0,324,442.230466
2.0,222,445.073041
0.0,125,446.560849
3.0,251,449.76961
1.0,170,451.868339
0.0,129,453.41436
5.0,371,458.230771
0.0,127,459.760659
2.0,189,462.137266
2.0,202,464.70285
2.0,204,467.32793
0.0,127,468.838627
2.0,199,471.30982
0.0,127,472.809854
1.0,159,474.791841
2.0,204,477.338279
2.0,224,480.250527
1.0,157,482.181485
2.0,221,484.997407
0.0,127,486.52985
5.0,330,490.74719
0.0,123,492.311995
2.0,202,494.8944
0.0,129,496.419342
1.0,173,498.618202
2.0,192,501.043845
2.0,222,503.885212
1.0,171,505.957612
2.0,201,508.484326
2.0,219,511.297111
0.0,129,512.882618
0.0,127,514.387028
2.0,200,516.949481
0.0,125,518.437443
3.0,248,521.530966
3.0,247,524.749545
0.0,127,526.303536
2.0,200,528.805101
0.0,129,530.343883
2.0,208,532.896668
0.0,127,534.456301
0.0,129,536.009622
0.0,127,537.533669
2.0,224,540.31759
1.0,155,542.255872
1.0,155,544.150134
0.0,127,545.70527
0.0,127,547.253119
4.0,281,550.891984
0.0,129,552.461698
4.0,280,556.153139
1.0,175,558.437533
3.0,245,561.664834
3.0,276,565.254897
0.0,123,566.821266
0.0,125,568.370969
1.0,155,570.366726
0.0,129,571.955099
4.0,299,576.009403
1.0,173,578.180825
1.0,173,580.349737
1.0,152,582.194811
3.0,216,584.991578
5.0,325,589.210239
0.0,129,590.816712
0.0,129,592.415
4.0,302,596.25861
4.0,297,600.06302
2.0,224,602.917327
1.0,173,605.085513
2.0,223,607.90235
1.0,177,610.116711
0.0,129,611.675242
1.0,155,613.596134
3.0,219,616.368669
0.0,127,617.988638
0.0,125,619.520721
0.0,127,621.065799
1.0,174,623.219648
2.0,202,625.765486
0.0,129,627.342974
0.0,125,628.904647
4.0,283,632.504748
2.0,203,635.08145
0.0,127,636.631578
0.0,125,638.153196
1.0,155,640.055865
2.0,204,642.668899
2.0,185,645.008949
0.0,129,646.610794
4.0,301,650.533691
0.0,129,652.077964
0.0,129,653.677952
0.0,127,655.240849
3.0,232,658.165474
4.0,300,662.015444
4.0,321,666.162204
3.0,274,669.681756
4.0,322,673.835137
2.0,202,676.390575
1.0,155,678.314692
4.0,280,681.948357
3.0,230,684.908474
2.0,190,687.267842
0.0,127,688.742689
4.0,300,692.579716
1.0,153,694.493794
1.0,175,696.575126
0.0,129,698.125576
4.0,297,701.963065
0.0,129,703.550303
2.0,200,706.075684
0.0,127,707.654395
2.0,222,710.417225
3.0,251,713.593623
0.0,125,715.034156
2.0,206,717.675996
3.0,272,721.140183
1.0,174,723.283298
2.0,222,726.01643
0.0,127,727.586455
1.0,176,729.826951
2.0,220,732.647933
3.0,212,735.307109
0.0,125,736.723902
3.0,267,740.157276
0.0,123,741.681567
2.0,218,744.408136
0.0,129,745.974971
4.0,265,749.354141
0.0,129,750.903078
2.0,198,753.424506
2.0,201,755.990066
1.0,157,757.9659
0.0,127,759.494803
0.0,125,761.008794
1.0,175,763.196541
0.0,127,764.737325
1.0,155,766.703813
1.0,173,768.870434
0.0,123,770.358796
0.0,129,771.90901
0.0,129,773.496289
0.0,123,775.007899
0.0,129,776.549095
1.0,173,778.741729
1.0,177,780.982368
0.0,125,782.525536
0.0,123,784.035836
0.0,127,785.599332
1.0,153,787.513381
3.0,252,790.712301
0.0,125,792.223982
2.0,202,794.681181
2.0,207,797.287595
3.0,250,800.528852
7.0,321,804.659446
2.0,204,807.180843
2.0,202,809.770478
0.0,123,811.220214
0.0,127,812.755737
0.0,127,814.317992
0.0,127,815.821637
0.0,125,817.318709
1.0,173,819.509325
0.0,127,821.011025
0.0,129,822.495231
9.0,419,827.997698
0.0,129,829.488645
0.0,125,831.020795
0.0,129,832.524081
1.0,173,834.624631
0.0,125,836.130915
0.0,127,837.665346
3.0,248,840.853334
0.0,129,842.373464
5.0,348,846.825967
4.0,297,850.484465
0.0,129,852.030978
2.0,202,854.526464
3.0,270,858.039583
3.0,270,861.527786
6.0,380,866.432808
2.0,202,868.921211
5.0,348,873.35329
0.0,127,874.886562
0.0,129,876.385381
1.0,155,878.229388
0.0,125,879.735022
1.0,173,881.886224
0.0,129,883.44012
0.0,129,885.009628
0.0,129,886.556953
4.0,299,890.437593
0.0,127,891.998406
4.0,318,896.128055
1.0,153,898.032226
2.0,202,900.617838
0.0,127,902.195959
5.0,346,906.746229
8.0,378,911.48393
2.0,202,913.982983
0.0,129,915.513934
0.0,129,917.10475
1.0,173,919.285615
0.0,125,920.768016
3.0,271,924.248501
0.0,125,925.739285
4.0,278,929.323826
0.0,127,930.870741
1.0,172,933.033892
0.0,129,934.596889
0.0,129,936.145633
1.0,159,938.145091
0.0,127,939.676163
2.0,200,942.112067
1.0,171,944.263157
2.0,198,946.778057
0.0,127,948.310175
2.0,201,950.692907
0.0,123,952.121243
2.0,201,954.621191
1.0,155,956.559225
2.0,205,959.075028
3.0,253,962.391093
0.0,129,963.948996
0.0,129,965.531417
5.0,305,969.460921
9.0,424,974.955594
0.0,127,976.516711
3.0,250,979.669774
2.0,202,982.155536
2.0,200,984.714411
1.0,173,986.815535
0.0,129,988.343609
0.0,125,989.85233
1.0,155,991.741505
2.0,198,994.141662
0.0,125,995.584517
11.0,499,1002.02683
0.0,129,1003.624312
2.0,222,1006.373444
2.0,201,1008.849566
0.0,129,1010.36332
6.0,417,1015.672241
2.0,206,1018.245066
3.0,249,1021.433048
0.0,129,1023.047288
0.0,129,1024.567559
1.0,173,1026.664374
2.0,200,1029.186078
1.0,152,1031.053389
1.0,154,1032.941329
0.0,127,1034.473873
1.0,155,1036.33209
0.0,129,1037.946056
2.0,185,1040.304422
1.0,177,1042.593771
1.0,173,1044.690824
1.0,176,1046.894245
0.0,127,1048.419188
0.0,129,1049.944871
1.0,175,1052.102808
3.0,248,1055.154883
0.0,127,1056.703886
0.0,129,1058.282907
1.0,153,1060.088699
1.0,155,1061.997827
0.0,127,1063.538801
0.0,127,1065.123285
0.0,129,1066.691618
0.0,127,1068.217742
1.0,175,1070.434865
0.0,129,1072.020512
0.0,127,1073.578068
2.0,200,1076.035919
2.0,202,1078.557866
2.0,200,1081.084273
0.0,129,1082.640883
0.0,129,1084.189896
0.0,127,1085.730767
0.0,127,1087.281894
3.0,230,1090.143608
0.0,127,1091.653346
5.0,350,1096.030391
6.0,399,1101.146843
1.0,173,1103.231498
0.0,129,1104.733595
0.0,127,1106.221932
4.0,297,1110.044448
0.0,129,1111.582353
2.0,202,1114.118773
2.0,220,1116.841478
6.0,401,1121.975762
0.0,129,1123.505578
3.0,250,1126.642718
0.0,125,1128.146614
8.0,480,1134.248606
4.0,291,1137.962011
0.0,127,1139.514838
10.0,433,1145.131226
2.0,202,1147.649325
0.0,129,1149.194152
5.0,330,1153.446257
0.0,129,1154.972867
10.0,431,1160.643394
4.0,299,1164.474321
0.0,125,1165.920582
0.0,129,1167.411636
2.0,202,1169.918778
0.0,125,1171.42688
2.0,202,1173.965672
0.0,129,1175.467836
5.0,352,1179.876261
0.0,129,1181.462972
0.0,123,1182.890924
2.0,200,1185.365964
1.0,157,1187.206363
4.0,319,1191.251763
0.0,127,1192.757751
2.0,202,1195.282019
0.0,127,1196.795633
2.0,202,1199.274779
0.0,129,1200.748454
3.0,246,1203.818514
4.0,299,1207.563668
0.0,129,1209.090086
2.0,200,1211.585309
5.0,330,1215.686197
0.0,129,1217.268273
0.0,125,1218.801511
1.0,172,1220.990148
6.0,382,1225.862275
2.0,202,1228.368371
0.0,129,1229.919102
2.0,202,1232.41647
0.0,123,1233.91701
5.0,347,1238.344621
0.0,129,1239.893345
2.0,198,1242.352642
5.0,350,1246.710692
2.0,200,1249.225009
3.0,246,1252.281639
0.0,129,1253.767743
0.0,125,1255.252611
0.0,129,1256.852498
5.0,350,1261.278022
0.0,129,1262.804899
6.0,380,1267.704449
0.0,127,1269.225312
0.0,127,1270.69778
0.0,127,1272.278606
2.0,202,1274.81654
2.0,202,1277.28912
3.0,230,1280.105536
0.0,129,1281.617916
0.0,129,1283.165193
0.0,127,1284.692173
0.0,127,1286.192923
9.0,404,1291.380367
1.0,173,1293.485561
5.0,352,1297.852709
9.0,404,1303.054808
0.0,127,1304.542756
0.0,125,1305.99336
1.0,173,1308.126354
2.0,200,1310.661029
0.0,127,1312.128808
0.0,127,1313.609571
1.0,175,1315.672604
9.0,380,1320.483044
1.0,177,1322.673469
0.0,127,1324.186805
0.0,123,1325.645021
0.0,129,1327.18334
0.0,129,1328.755444
0.0,129,1330.33728
0.0,127,1331.821397
0.0,125,1333.243571
0.0,127,1334.729235
0.0,129,1336.248563
0.0,129,1337.828258
0.0,127,1339.310185
1.0,172,1341.34583
0.0,127,1342.82989
0.0,127,1344.288125
0.0,129,1345.776089
1.0,157,1347.66347
6.0,397,1352.596055
4.0,319,1356.589671
0.0,127,1358.113805
7.0,406,1363.329934
0.0,129,1364.835006
3.0,268,1368.213843
0.0,127,1369.723798
0.0,129,1371.267154
0.0,127,1372.774096
4.0,297,1376.456578
2.0,202,1378.947569
5.0,350,1383.217114
0.0,125,1384.662486
0.0,127,1386.148173
0.0,127,1387.628893
1.0,169,1389.677839
5.0,368,1394.367947
1.0,174,1396.497521
2.0,200,1398.971733
0.0,125,1400.421359
0.0,127,1401.959292
1.0,155,1403.822769
0.0,127,1405.33028
0.0,129,1406.856247
2.0,200,1409.340306
0.0,129,1410.849437
0.0,125,1412.322846
5.0,328,1416.376595
2.0,202,1418.842626
5.0,350,1423.316183
4.0,297,1426.963159
5.0,350,1431.435494
2.0,202,1433.902298
1.0,171,1435.954434
10.0,433,1441.515941
0.0,127,1443.070802
3.0,248,1446.258109
0.0,129,1447.82703
3.0,226,1450.73415
0.0,129,1452.245054
0.0,125,1453.726198
0.0,125,1455.250961
5.0,350,1459.790114
0.0,129,1461.302883
0.0,129,1462.868587
2.0,200,1465.27031
0.0,127,1466.768896
0.0,127,1468.276181
0.0,127,1469.795413
