#{"t_start": 1523333577.1777952, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,127,339.080069
5.0,317,343.447518
3.0,226,346.435525
3.0,266,350.112643
1.0,177,352.417864
1.0,157,354.4878
2.0,203,357.222359
2.0,204,360.049045
1.0,173,362.280735
0.0,129,363.910847
2.0,221,367.009898
0.0,127,368.570351
0.0,127,370.218179
1.0,173,372.496248
0.0,129,374.16155
0.0,123,375.731244
1.0,173,378.030987
2.0,201,380.74171
6.0,419,386.562829
2.0,202,389.249835
0.0,129,390.881884
0.0,129,392.478238
0.0,127,394.090787
2.0,186,396.569994
1.0,153,398.57127
0.0,129,400.195037
0.0,127,401.87168
2.0,202,404.625497
2.0,200,407.277268
2.0,202,409.945609
0.0,129,411.637382
1.0,155,413.710337
0.0,125,415.378601
1.0,175,417.737922
0.0,127,419.339062
0.0,129,421.015261
1.0,175,423.403036
1.0,171,425.783593
2.0,205,428.620836
2.0,202,431.384968
0.0,127,433.071739
1.0,177,435.548515
1.0,171,437.891375
0.0,129,439.545856
0.0,127,441.253463
0.0,127,442.946331
1.0,176,445.418641
1.0,171,447.655504
4.0,283,451.531498
0.0,127,453.116501
2.0,222,456.024753
0.0,125,457.611847
2.0,204,460.258641
5.0,328,464.795799
3.0,270,468.505348
0.0,129,470.20154
1.0,171,472.474384
4.0,281,476.344594
9.0,396,481.794536
0.0,127,483.424036
0.0,129,485.146621
1.0,173,487.442534
1.0,175,489.753591
0.0,129,491.41694
0.0,129,493.057633
1.0,155,495.072946
2.0,202,497.719439
0.0,123,499.304369
0.0,127,500.960461
0.0,127,502.559444
2.0,202,505.285717
2.0,200,507.94141
0.0,129,509.489077
0.0,129,511.108359
0.0,123,512.669712
0.0,129,514.308194
0.0,129,515.975498
2.0,201,518.644823
2.0,225,521.652136
2.0,205,524.341823
1.0,157,526.410155
1.0,177,528.769449
1.0,153,530.737043
0.0,129,532.341536
4.0,315,536.633541
1.0,157,538.690626
2.0,224,541.706615
3.0,252,545.201263
1.0,173,547.567872
1.0,157,549.654216
0.0,129,551.312923
0.0,129,553.013114
1.0,174,555.276803
1.0,171,557.594999
0.0,125,559.204783
5.0,344,563.915086
3.0,270,567.586463
2.0,205,570.325128
3.0,249,573.703631
3.0,268,577.364015
9.0,380,582.664018
1.0,176,584.981852
1.0,155,586.989964
0.0,127,588.662019
3.0,250,591.97229
4.0,293,595.925364
0.0,125,597.512131
0.0,127,599.112268
1.0,170,601.362826
4.0,320,605.754129
3.0,248,609.058671
1.0,173,611.247879
3.0,234,614.391781
0.0,129,616.054227
0.0,125,617.697318
2.0,224,620.731557
0.0,127,622.398908
2.0,205,625.180263
1.0,157,627.238548
1.0,175,629.587111
4.0,300,633.721779
0.0,127,635.426205
4.0,296,639.428591
0.0,125,641.060749
0.0,125,642.690616
3.0,253,646.190471
0.0,129,647.810585
0.0,129,649.49841
0.0,127,651.15393
0.0,125,652.72386
0.0,127,654.42059
1.0,173,656.761203
0.0,129,658.400479
0.0,129,660.082774
0.0,129,661.773851
