explained_variance,fps,nupdates,policy_entropy,value_loss,total_timesteps
-39.430538177490234,,1,1.3585516214370728,0.006543991155922413,80
-0.09312140941619873,35,100,1.3791897296905518,0.032974086701869965,8000
0.8953054621815681,69,200,1.3755600452423096,0.0014925507130101323,16000
0.5253044068813324,100,300,1.3715851306915283,0.008385004475712776,24000
0.8435883074998856,129,400,1.3761171102523804,0.0024566296488046646,32000
0.9052327051758766,157,500,1.3698444366455078,0.002877530176192522,40000
0.8957908675074577,184,600,1.3694303035736084,0.001099540269933641,48000
0.5106149613857269,209,700,1.3160320520401,0.014112614095211029,56000
0.13724124431610107,232,800,1.341094732284546,0.018699485808610916,64000
0.14998328685760498,255,900,1.328218698501587,0.025042962282896042,72000
0.22961068153381348,276,1000,1.3731844425201416,0.0031280401162803173,80000
0.13822686672210693,296,1100,1.3498637676239014,0.07869543135166168,88000
0.5128058195114136,315,1200,1.3783178329467773,0.0014343906659632921,96000
0.13964462280273438,333,1300,1.2885528802871704,0.029532980173826218,104000
0.40543198585510254,351,1400,1.2988977432250977,0.006208137609064579,112000
0.05232858657836914,367,1500,1.2739171981811523,0.0443938672542572,120000
0.19548022747039795,383,1600,1.3603497743606567,0.0230390727519989,128000
0.12170451879501343,399,1700,1.3782870769500732,0.03544933348894119,136000
0.25297093391418457,414,1800,1.378462791442871,0.04990223050117493,144000
0.9552211984992027,428,1900,1.3766376972198486,0.00039906310848891735,152000
0.2755314111709595,441,2000,1.3787552118301392,0.04162858426570892,160000
0.5229514539241791,454,2100,1.3393110036849976,0.024577680975198746,168000
0.5256121158599854,467,2200,1.326271414756775,0.03625575825572014,176000
0.06264370679855347,479,2300,1.306557059288025,0.021933313459157944,184000
0.9859103718772531,491,2400,1.355220913887024,9.47707740124315e-05,192000
-0.2008359432220459,502,2500,1.3519237041473389,0.007653741631656885,200000
-0.67742919921875,513,2600,1.3593416213989258,0.007351225707679987,208000
0.29603856801986694,523,2700,1.383927822113037,0.02607220970094204,216000
-0.1293116807937622,534,2800,1.3722246885299683,0.010943575762212276,224000
0.8188771903514862,543,2900,1.3805843591690063,0.0006032873061485589,232000
0.19484597444534302,553,3000,1.3827877044677734,0.0067657120525836945,240000
0.4696943759918213,562,3100,1.3711917400360107,0.009125133976340294,248000
0.4152323007583618,570,3200,1.382751703262329,0.03914044424891472,256000
0.3381505012512207,579,3300,1.3741910457611084,0.01589202880859375,264000
-0.06432485580444336,587,3400,1.3765013217926025,0.0034919660538434982,272000
0.1682126522064209,595,3500,1.381909966468811,0.026341164484620094,280000
0.2554483413696289,603,3600,1.330272912979126,0.011058738455176353,288000
0.9861660338938236,611,3700,1.3586883544921875,0.00015760450332891196,296000
0.8314513862133026,618,3800,1.3727202415466309,0.003333732485771179,304000
0.524697333574295,625,3900,1.3810043334960938,0.02595623955130577,312000
0.9119499623775482,632,4000,1.3563481569290161,0.002076617209240794,320000
