#{"t_start": 1523333577.0845346, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,129,339.220955
0.0,129,340.810189
0.0,129,342.477848
1.0,154,344.53342
0.0,125,346.078357
1.0,173,348.336675
0.0,127,349.985687
2.0,201,352.669096
1.0,153,354.720995
2.0,203,357.477223
1.0,174,359.826679
1.0,170,362.008054
3.0,251,365.517792
3.0,275,369.212053
0.0,127,370.864033
2.0,186,373.307399
0.0,127,374.953069
0.0,125,376.585402
3.0,251,380.00785
1.0,173,382.285842
0.0,125,383.881902
7.0,326,388.3565
0.0,127,389.954083
1.0,157,391.98098
1.0,173,394.228144
1.0,153,396.218972
0.0,127,397.862897
2.0,202,400.545374
1.0,155,402.622729
1.0,173,404.937989
5.0,331,409.474274
0.0,125,411.093206
0.0,129,412.786067
2.0,185,415.31004
0.0,127,416.947018
2.0,202,419.656565
0.0,127,421.328433
0.0,129,423.001331
0.0,127,424.718472
0.0,125,426.3747
1.0,155,428.489906
0.0,125,430.113077
2.0,183,432.64217
2.0,187,435.251948
1.0,155,437.360635
2.0,201,440.077745
3.0,271,444.013451
0.0,129,445.71848
0.0,127,447.304574
2.0,202,450.012412
2.0,201,452.68738
0.0,127,454.30236
2.0,200,456.90536
4.0,292,460.819401
1.0,176,463.11276
2.0,185,465.581588
0.0,129,467.256618
1.0,169,469.521181
0.0,123,471.173016
0.0,123,472.733416
0.0,127,474.309163
3.0,253,477.810079
1.0,155,479.784267
4.0,278,483.608084
1.0,175,485.982603
2.0,226,489.030283
3.0,250,492.428901
0.0,125,494.032639
2.0,202,496.66555
0.0,127,498.267684
1.0,172,500.583683
0.0,129,502.22352
0.0,127,503.873329
2.0,200,506.516737
0.0,125,508.112227
0.0,127,509.644388
0.0,127,511.241949
1.0,173,513.489553
3.0,248,516.849477
0.0,127,518.465961
0.0,127,520.089438
3.0,217,522.977053
1.0,173,525.214051
1.0,153,527.246019
0.0,129,528.90881
3.0,272,532.541278
1.0,175,534.807727
1.0,153,536.813319
0.0,129,538.463274
0.0,127,540.092496
1.0,175,542.428923
1.0,175,544.762854
0.0,129,546.448551
1.0,173,548.776451
0.0,127,550.443046
0.0,129,552.172219
1.0,175,554.490206
0.0,127,556.096723
1.0,173,558.421553
1.0,173,560.677386
0.0,129,562.333302
2.0,201,565.021276
0.0,129,566.702311
2.0,199,569.33558
0.0,127,570.960451
2.0,202,573.64127
1.0,175,575.927913
0.0,125,577.592574
1.0,175,579.915742
0.0,127,581.527187
1.0,157,583.608314
1.0,178,585.946582
1.0,175,588.23428
1.0,170,590.505632
2.0,199,593.102055
5.0,347,597.836635
0.0,125,599.439321
0.0,127,601.045954
2.0,202,603.747572
3.0,250,607.116932
4.0,297,611.044102
3.0,232,614.151408
0.0,125,615.763326
2.0,201,618.492351
0.0,127,620.115383
0.0,127,621.807875
1.0,155,623.842355
1.0,171,626.10145
0.0,127,627.730218
3.0,250,631.166897
0.0,123,632.737183
1.0,153,634.791809
1.0,171,637.118867
1.0,157,639.117901
0.0,127,640.775409
0.0,125,642.380376
0.0,127,644.050143
0.0,125,645.652943
1.0,175,647.968502
2.0,200,650.697401
6.0,371,655.907147
4.0,303,660.101037
0.0,129,661.777774
0.0,129,663.463921
2.0,218,666.495868
1.0,172,668.814464
0.0,127,670.506024
2.0,198,673.077241
0.0,129,674.787274
1.0,175,677.169572
2.0,202,679.834908
4.0,303,683.942373
5.0,350,688.782126
1.0,160,690.951687
0.0,129,692.657688
1.0,155,694.696773
1.0,155,696.796166
1.0,175,699.114182
0.0,125,700.699329
3.0,250,704.097939
6.0,380,709.318792
0.0,129,710.940972
2.0,220,713.951606
1.0,172,716.275765
1.0,155,718.2788
2.0,202,720.995
0.0,129,722.658294
3.0,233,725.890257
1.0,171,728.145296
0.0,127,729.787692
4.0,261,733.324188
1.0,177,735.705132
0.0,129,737.334664
2.0,223,740.294984
2.0,204,743.000098
0.0,125,744.64376
0.0,127,746.276128
1.0,169,748.47399
0.0,129,750.128605
0.0,125,751.757568
1.0,156,753.798888
0.0,125,755.348597
0.0,129,757.022373
0.0,127,758.639982
2.0,198,761.280775
0.0,125,762.922316
1.0,159,765.018039
0.0,125,766.632391
1.0,174,768.858914
1.0,178,771.2702
7.0,428,777.150088
4.0,320,781.482605
3.0,228,784.579937
1.0,174,786.929513
2.0,203,789.710048
0.0,127,791.387011
6.0,359,796.310265
3.0,249,799.704702
1.0,155,801.755614
1.0,157,803.908966
0.0,127,805.535585
3.0,250,808.964135
0.0,127,810.56806
