#{"t_start": 1523333577.175696, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,125,339.047879
1.0,175,341.34922
0.0,129,342.97771
0.0,127,344.647786
2.0,204,347.304461
2.0,202,350.069064
3.0,266,353.665869
0.0,129,355.354722
0.0,129,356.994593
2.0,204,359.836617
3.0,214,362.646644
1.0,173,365.000255
0.0,127,366.646127
2.0,202,369.323616
0.0,127,370.965617
1.0,173,373.219638
4.0,299,377.349123
1.0,155,379.36842
1.0,157,381.484159
0.0,129,383.131545
1.0,157,385.150801
0.0,127,386.780114
0.0,127,388.408994
6.0,396,393.815604
7.0,441,399.938742
1.0,155,402.013173
1.0,175,404.355657
3.0,226,407.416229
0.0,125,408.991909
1.0,155,411.03856
0.0,127,412.692662
0.0,129,414.380398
1.0,154,416.409636
3.0,252,419.889695
1.0,157,421.96055
0.0,129,423.678217
5.0,327,428.370025
1.0,175,430.740604
9.0,343,435.729301
1.0,153,437.765207
0.0,125,439.374974
0.0,127,441.068383
0.0,127,442.779074
1.0,177,445.224158
3.0,272,448.924148
0.0,125,450.585377
0.0,125,452.1387
2.0,218,455.007895
0.0,127,456.575311
0.0,127,458.209861
2.0,220,461.125594
5.0,353,465.973261
2.0,220,468.969995
1.0,153,471.049862
2.0,201,473.692485
0.0,125,475.292431
1.0,157,477.392084
1.0,157,479.407759
4.0,299,483.544487
3.0,235,486.778045
1.0,175,489.082239
0.0,127,490.736995
1.0,173,492.979176
2.0,200,495.627428
1.0,170,497.8455
1.0,155,499.885557
2.0,204,502.630358
2.0,200,505.322105
0.0,125,506.880358
3.0,249,510.153006
0.0,127,511.772642
5.0,353,516.590207
1.0,157,518.672028
0.0,129,520.303898
5.0,297,524.298916
0.0,129,525.965647
1.0,177,528.30928
3.0,274,531.989643
0.0,127,533.609305
1.0,153,535.601875
0.0,125,537.150937
1.0,175,539.466119
1.0,172,541.769215
0.0,129,543.429753
2.0,199,546.153978
0.0,129,547.857769
0.0,127,549.500962
1.0,175,551.902809
1.0,177,554.229401
0.0,129,555.874242
0.0,127,557.532868
0.0,129,559.208622
0.0,125,560.76155
0.0,129,562.433801
2.0,204,565.133375
2.0,202,567.838065
0.0,127,569.465961
1.0,175,571.755957
1.0,171,574.075966
2.0,202,576.735626
2.0,219,579.701161
1.0,178,582.089131
0.0,127,583.724947
2.0,183,586.161135
0.0,127,587.7143
1.0,157,589.819893
1.0,171,592.017179
0.0,127,593.621306
2.0,202,596.28182
0.0,129,597.923097
2.0,185,600.390143
0.0,129,602.044164
1.0,176,604.36332
4.0,297,608.368637
1.0,171,610.537024
0.0,127,612.132928
1.0,157,614.173599
2.0,204,616.930166
1.0,175,619.287348
0.0,125,620.952135
1.0,159,623.032089
1.0,153,625.049198
2.0,201,627.729105
0.0,127,629.392268
3.0,218,632.325109
0.0,125,633.983319
1.0,155,636.068326
0.0,127,637.688558
4.0,279,641.486301
0.0,129,643.178112
1.0,153,645.201782
2.0,220,648.197445
0.0,127,649.873742
1.0,173,652.141148
4.0,297,656.272907
0.0,125,657.864841
5.0,347,662.764537
0.0,127,664.404439
0.0,125,666.079012
0.0,127,667.714224
0.0,129,669.400278
0.0,127,671.060665
1.0,153,673.049354
2.0,202,675.808316
0.0,129,677.48782
0.0,129,679.080338
3.0,248,682.443743
1.0,170,684.683794
0.0,129,686.351373
0.0,123,687.92261
0.0,129,689.588112
0.0,125,691.228216
1.0,155,693.296252
2.0,185,695.778908
1.0,155,697.879529
0.0,127,699.488323
0.0,129,701.162313
0.0,125,702.733614
0.0,125,704.366365
2.0,199,706.962862
2.0,222,709.933128
1.0,157,711.959425
0.0,127,713.638458
0.0,127,715.295967
5.0,331,719.847101
1.0,153,721.834614
0.0,129,723.523948
1.0,173,725.920417
2.0,202,728.651504
1.0,170,730.829414
1.0,175,733.155807
0.0,127,734.800241
4.0,261,738.336284
1.0,170,740.55079
0.0,125,742.151191
0.0,125,743.717005
3.0,250,747.126515
2.0,200,749.802077
1.0,153,751.845777
3.0,274,755.571648
0.0,127,757.206543
6.0,403,762.795909
0.0,129,764.468688
0.0,129,766.143713
0.0,127,767.720038
0.0,129,769.3776
0.0,123,770.957533
2.0,188,773.41594
5.0,329,777.907553
5.0,350,782.709703
0.0,125,784.285842
0.0,125,785.982841
1.0,155,788.029752
0.0,125,789.645783
5.0,350,794.429648
0.0,127,796.082885
1.0,157,798.204077
0.0,127,799.842571
1.0,157,801.88734
0.0,127,803.565724
3.0,230,806.721236
0.0,129,808.364482
0.0,129,810.020169
0.0,125,811.61563
0.0,129,813.314962
1.0,155,815.394776
3.0,248,818.704512
0.0,129,820.372332
3.0,250,823.793611
1.0,175,826.108451
3.0,271,829.829093
0.0,127,831.385089
0.0,129,833.020071
2.0,225,836.059343
3.0,248,839.370347
0.0,123,840.947496
2.0,182,843.31705
1.0,157,845.386771
0.0,127,847.126575
0.0,127,848.840077
0.0,127,850.549973
3.0,226,853.676414
0.0,129,855.313024
1.0,177,857.690144
1.0,155,859.751189
2.0,182,862.127587
4.0,301,866.253287
3.0,228,869.360855
0.0,127,871.047803
0.0,125,872.660966
1.0,172,874.916937
3.0,250,878.302936
1.0,155,880.361386
12.0,509,887.406164
1.0,173,889.707202
0.0,127,891.281601
0.0,125,892.883652
2.0,202,895.583594
0.0,129,897.196117
2.0,205,899.887036
2.0,202,902.540729
10.0,436,908.519732
0.0,127,910.192736
5.0,347,915.033684
0.0,129,916.746197
0.0,127,918.3563
6.0,399,923.846378
2.0,203,926.575105
0.0,127,928.16422
4.0,301,932.241364
1.0,155,934.332608
0.0,127,935.96226
4.0,299,940.033122
0.0,129,941.735384
0.0,129,943.384364
2.0,220,946.367884
1.0,155,948.481317
1.0,155,950.52028
0.0,129,952.225477
1.0,171,954.488294
1.0,175,956.849251
0.0,125,958.462901
3.0,250,961.861252
5.0,352,966.863314
0.0,127,968.489152
3.0,232,971.700747
0.0,125,973.340126
2.0,219,976.265671
3.0,228,979.361001
0.0,123,980.959977
2.0,217,983.991651
0.0,129,985.69483
0.0,127,987.384456
1.0,157,989.431411
3.0,216,992.397662
1.0,175,994.711362
4.0,293,998.728278
2.0,188,1001.181646
2.0,183,1003.632394
1.0,155,1005.668166
1.0,157,1007.716898
0.0,129,1009.402849
2.0,218,1012.355223
3.0,238,1015.545949
1.0,173,1017.861687
1.0,173,1020.202322
0.0,129,1021.871949
1.0,176,1024.252238
0.0,125,1025.954331
4.0,272,1029.689208
1.0,155,1031.761846
6.0,389,1037.142354
0.0,127,1038.768287
0.0,127,1040.413624
1.0,157,1042.520585
0.0,125,1044.134253
4.0,279,1048.041481
2.0,222,1050.993324
1.0,173,1053.349209
1.0,171,1055.66331
1.0,175,1057.968795
0.0,127,1059.58763
2.0,224,1062.597863
2.0,219,1065.502881
0.0,125,1067.151361
0.0,127,1068.809095
3.0,248,1072.196532
1.0,173,1074.45248
1.0,173,1076.714614
2.0,201,1079.369548
1.0,177,1081.750258
1.0,175,1084.113899
3.0,255,1087.639234
0.0,129,1089.311697
1.0,157,1091.425596
0.0,127,1093.108115
0.0,129,1094.772102
0.0,129,1096.435013
1.0,157,1098.520608
1.0,157,1100.595608
2.0,202,1103.353119
0.0,129,1105.031717
0.0,129,1106.662573
3.0,250,1110.048454
0.0,129,1111.667202
