episodes,steps,mean 100 episode reward,% time spent exploring
25700,4339810,12.8,1
25800,4374973,14.8,1
25900,4405259,11.8,1
26000,4434589,13.1,1
26100,4467253,13.7,1
26200,4495920,11.8,1
26300,4527736,12.4,1
26400,4560210,13.2,1
26500,4590558,10.6,1
26600,4621034,12.7,1
26700,4656161,14.0,1
26800,4689485,13.4,1
26900,4722934,13.9,1
27000,4756082,14.0,1
27100,4788348,11.9,1
27200,4820779,13.3,1
27300,4852634,12.6,1
27400,4882063,11.5,1
27500,4913508,12.4,1
27600,4945693,12.7,1
27700,4977981,12.9,1
27800,5007154,12.9,1
27900,5036429,11.0,1
28000,5065364,11.8,1
28100,5096062,12.7,1
28200,5131252,14.4,1
28300,5166051,12.4,1
28400,5200545,14.0,1
28500,5232491,11.5,1
28600,5267746,13.5,1
28700,5300680,12.8,1
28800,5331584,12.1,1
28900,5361765,11.9,1
29000,5395060,13.7,1
29100,5426247,12.3,1
29200,5458079,13.7,1
29300,5492680,14.6,1
29400,5524834,13.1,1
29500,5559609,14.2,1
29600,5588410,13.0,1
29700,5618140,12.1,1
29800,5652483,14.3,1
29900,5684416,13.4,1
30000,5712512,11.0,1
30100,5743456,12.5,1
30200,5776692,13.1,1
30300,5807340,12.2,1
30400,5836323,12.5,1
30500,5865940,11.0,1
30600,5893064,10.5,1
30700,5917043,8.6,1
30800,5948511,12.1,1
30900,5977057,10.1,1
31000,6009959,11.8,1
31100,6041011,13.3,1
31200,6068494,10.4,1
31300,6100982,12.1,1
31400,6130063,9.7,1
31500,6162023,12.4,1
31600,6194348,12.7,1
31700,6226558,12.4,1
31800,6257056,12.5,1
31900,6292318,14.9,1
32000,6316932,9.5,1
32100,6351315,13.0,1
32200,6385704,13.3,1
32300,6423923,15.8,1
32400,6460208,15.0,1
32500,6482040,6.7,1
32600,6517873,14.9,1
32700,6553283,15.5,1
32800,6592413,16.0,1
32900,6629120,14.0,1
33000,6649414,7.2,1
33100,6676926,9.9,1
33200,6711417,14.7,1
33300,6746948,13.2,1
33400,6776479,9.4,1
33500,6788509,3.8,1
33600,6811969,9.3,1
33700,6837190,9.3,1
33800,6872353,15.2,1
33900,6910708,11.7,1
34000,6944507,14.0,1
34100,6983089,14.9,1
34200,7017675,13.0,1
34300,7050594,12.5,1
34400,7084164,14.0,1
34500,7119803,14.4,1
